date,value,value_high,value_low,iso_code
2022-08-29,532170,725504,409026,MNG
2022-08-30,532059,725247,409026,MNG
2022-08-31,528190,721563,405743,MNG
2022-09-01,453915,604842,349652,MNG
2022-09-02,453915,604842,349652,MNG
2022-09-03,453915,604842,349652,MNG
2022-09-04,453637,604842,349514,MNG
2022-09-05,453637,604842,349514,MNG
2022-09-06,453637,604842,349514,MNG
2022-09-07,453637,604842,349514,MNG
2022-09-08,453637,604842,349514,MNG
2022-09-09,453637,604842,349514,MNG
2022-09-10,453331,603284,349514,MNG
2022-09-11,453868,603564,349479,MNG
2022-09-12,453829,603564,349479,MNG
2022-09-13,453829,603564,349479,MNG
2022-09-14,453211,603564,349479,MNG
2022-09-15,453607,603564,349479,MNG
2022-09-16,453829,603564,349479,MNG
2022-09-17,453211,603564,349479,MNG
2022-09-18,450312,590919,346436,MNG
2022-09-19,450312,590919,346436,MNG
2022-09-20,450312,590919,346436,MNG
2022-09-21,450294,591189,346243,MNG
2022-09-22,450294,591189,346243,MNG
2022-09-23,450294,591189,346243,MNG
2022-09-24,450294,591189,346243,MNG
2022-09-25,449907,590568,346243,MNG
2022-09-26,449786,590568,346243,MNG
2022-09-27,449786,590568,346243,MNG
2022-09-28,449786,590568,346243,MNG
2022-09-29,449786,590568,346243,MNG
2022-09-30,449907,590568,346243,MNG
2022-10-01,449727,589488,345918,MNG
2022-10-02,450271,590405,346123,MNG
2022-10-03,449634,589488,345918,MNG
2022-10-04,449634,589488,345918,MNG
2022-10-05,449634,589488,345918,MNG
2022-10-06,450087,589381,346067,MNG
2022-10-07,450087,589381,346067,MNG
2022-10-08,450407,590057,346067,MNG
2022-10-09,450407,590057,346067,MNG
2022-10-10,450087,589381,346067,MNG
2022-10-11,449680,589344,345927,MNG
2022-10-12,449680,589344,345927,MNG
2022-10-13,450033,590093,345927,MNG
2022-10-14,452900,602868,348735,MNG
2022-10-15,453682,603029,350773,MNG
2022-10-16,453767,597984,349263,MNG
2022-10-17,453767,597984,349263,MNG
2022-10-18,453767,597984,349263,MNG
2022-10-19,453856,597984,349263,MNG
2022-10-20,453856,597984,349263,MNG
2022-10-21,453053,597885,349306,MNG
2022-10-22,453357,597885,349372,MNG
2022-10-23,453357,597885,349372,MNG
2022-10-24,453357,597885,349372,MNG
2022-10-25,453357,597885,349372,MNG
2022-10-26,453357,597885,349372,MNG
2022-10-27,453363,599352,349372,MNG
2022-10-28,453716,599349,350111,MNG
2022-10-29,453765,599349,350049,MNG
2022-10-30,453716,599349,350111,MNG
2022-10-31,453716,599349,350111,MNG
2022-11-01,346895,451832,276355,MNG
2022-11-02,346913,452127,276355,MNG
2022-11-03,346922,452127,276355,MNG
2022-11-04,346979,452721,276355,MNG
2022-11-05,346979,452721,276355,MNG
2022-11-06,346979,452721,276355,MNG
2022-11-07,346979,452721,276355,MNG
2022-11-08,346979,452721,276355,MNG
2022-11-09,347047,452721,276355,MNG
2022-11-10,346786,453217,276463,MNG
2022-11-11,347526,454494,276556,MNG
2022-11-12,347526,454494,276556,MNG
2022-11-13,346447,460670,276476,MNG
2022-11-14,346478,460670,276476,MNG
2022-11-15,346478,460670,276476,MNG
2022-11-16,348163,460500,276304,MNG
2022-11-17,348202,459947,276304,MNG
2022-11-18,351941,460157,276304,MNG
2022-11-19,351941,454767,276304,MNG
2022-11-20,351941,454767,276304,MNG
2022-11-21,350277,454847,276384,MNG
2022-11-22,349645,454847,276233,MNG
2022-11-23,349645,455701,276233,MNG
2022-11-24,349645,455701,276233,MNG
2022-11-25,349637,455737,276234,MNG
2022-11-26,349749,455737,276234,MNG
2022-11-27,349749,455737,276234,MNG
2022-11-28,349749,455737,276234,MNG
2022-11-29,349749,455737,276234,MNG
