date,value,value_high,value_low,iso_code
2022-11-06,8849422,8849422,8849422,MOZ
2022-11-07,8920278,8920278,8920278,MOZ
2022-11-08,8949125,8949125,8949125,MOZ
2022-11-09,9205158,9205158,9205158,MOZ
2022-11-10,8979545,8979545,8979545,MOZ
2022-11-11,9097913,9097913,9097913,MOZ
2022-11-12,9348911,9348911,9348911,MOZ
2022-11-13,9253681,9253681,9253681,MOZ
2022-11-14,9363231,9363231,9363231,MOZ
2022-11-15,9237024,9237024,9237024,MOZ
2022-11-16,9062048,9062048,9062048,MOZ
2022-11-17,9132826,9132826,9132826,MOZ
2022-11-18,9063009,9063009,9063009,MOZ
2022-11-19,8966686,8966686,8966686,MOZ
2022-11-20,9005488,9005488,9005488,MOZ
2022-11-21,8942663,8942663,8942663,MOZ
2022-11-22,8329847,8329847,8329847,MOZ
2022-11-23,8591185,8591185,8591185,MOZ
2022-11-24,8634088,8634088,8634088,MOZ
2022-11-25,8549071,8549071,8549071,MOZ
2022-11-26,8250466,8250466,8250466,MOZ
2022-11-27,8336438,8336438,8336438,MOZ
2022-11-28,8043672,8043672,8043672,MOZ
2022-11-29,7929781,7929781,7929781,MOZ
2022-11-30,7893582,7893582,7893582,MOZ
2022-12-01,7646444,7646444,7646444,MOZ
2022-12-02,7834085,7834085,7834085,MOZ
2022-12-03,7537239,7537239,7537239,MOZ
2022-12-04,7694617,7694617,7694617,MOZ
2022-12-05,7676974,7676974,7676974,MOZ
2022-12-06,7758565,7758565,7758565,MOZ
2023-03-05,5209316,5209316,5209316,MOZ
2022-12-07,7717318,7717318,7717318,MOZ
2022-12-08,7930313,7930313,7930313,MOZ
2022-12-09,7803835,7803835,7803835,MOZ
2022-12-10,7525092,7525092,7525092,MOZ
2022-12-11,7090357,7090357,7090357,MOZ
2022-12-12,6819876,6819876,6819876,MOZ
2022-12-13,6819171,6819171,6819171,MOZ
2022-12-14,6611480,6611480,6611480,MOZ
2022-12-15,6123289,6123289,6123289,MOZ
2022-12-16,6337426,6337426,6337426,MOZ
2022-12-17,6173049,6173049,6173049,MOZ
2022-12-18,6502034,6502034,6502034,MOZ
2022-12-19,6506204,6506204,6506204,MOZ
2022-12-20,6059855,6059855,6059855,MOZ
2022-12-21,6021037,6021037,6021037,MOZ
2022-12-22,6027479,6027479,6027479,MOZ
2022-12-23,6377649,6377649,6377649,MOZ
2022-12-24,6334020,6334020,6334020,MOZ
2022-12-25,6732395,6732395,6732395,MOZ
2022-12-26,6788172,6788172,6788172,MOZ
2022-12-27,6715031,6715031,6715031,MOZ
2022-12-28,7109648,7109648,7109648,MOZ
2022-12-29,7243926,7243926,7243926,MOZ
2022-12-30,7109587,7109587,7109587,MOZ
2022-12-31,7371193,7371193,7371193,MOZ
2023-01-01,7129072,7129072,7129072,MOZ
2023-01-02,7130263,7130263,7130263,MOZ
2023-01-03,7096348,7096348,7096348,MOZ
2023-01-04,7053617,7053617,7053617,MOZ
2023-01-05,7115378,7115378,7115378,MOZ
2023-01-06,7326115,7326115,7326115,MOZ
2023-01-07,7143485,7143485,7143485,MOZ
2023-01-08,7159572,7159572,7159572,MOZ
2023-01-09,7038546,7038546,7038546,MOZ
2023-01-10,7076998,7076998,7076998,MOZ
2023-01-11,7144473,7144473,7144473,MOZ
2023-01-12,6961077,6961077,6961077,MOZ
2023-01-13,6841075,6841075,6841075,MOZ
2023-01-14,7069804,7069804,7069804,MOZ
2023-01-15,6814869,6814869,6814869,MOZ
2023-01-16,6877043,6877043,6877043,MOZ
2023-01-17,6828817,6828817,6828817,MOZ
2023-01-18,6929855,6929855,6929855,MOZ
2023-01-19,6846427,6846427,6846427,MOZ
2023-01-20,6696139,6696139,6696139,MOZ
2023-01-21,6704750,6704750,6704750,MOZ
2023-01-22,6548969,6548969,6548969,MOZ
2023-01-23,6419094,6419094,6419094,MOZ
2023-01-24,6312968,6312968,6312968,MOZ
2023-01-25,6343880,6343880,6343880,MOZ
2023-01-26,6255863,6255863,6255863,MOZ
2023-01-27,6023531,6023531,6023531,MOZ
2023-01-28,5944227,5944227,5944227,MOZ
2023-01-29,5913445,5913445,5913445,MOZ
2023-01-30,5832984,5832984,5832984,MOZ
2023-01-31,5689270,5689270,5689270,MOZ
2023-02-01,5900120,5900120,5900120,MOZ
2023-02-02,6092607,6092607,6092607,MOZ
2023-02-03,6094963,6094963,6094963,MOZ
2023-02-04,5991067,5991067,5991067,MOZ
2023-02-05,5867228,5867228,5867228,MOZ
2023-02-06,6018211,6018211,6018211,MOZ
2023-02-07,6098849,6098849,6098849,MOZ
2023-02-08,6091041,6091041,6091041,MOZ
2023-02-09,5872728,5872728,5872728,MOZ
2023-02-10,5676255,5676255,5676255,MOZ
2023-02-11,5641977,5641977,5641977,MOZ
2023-02-12,5684529,5684529,5684529,MOZ
2023-02-13,5334274,5334274,5334274,MOZ
2023-02-14,5449538,5449538,5449538,MOZ
2023-02-15,5499847,5499847,5499847,MOZ
2023-02-16,5457027,5457027,5457027,MOZ
2023-02-17,5537278,5537278,5537278,MOZ
2023-02-18,5788036,5788036,5788036,MOZ
2023-02-19,5856039,5856039,5856039,MOZ
2023-02-20,5892117,5892117,5892117,MOZ
2023-02-21,5831107,5831107,5831107,MOZ
2023-02-22,5856204,5856204,5856204,MOZ
2023-02-23,5704224,5704224,5704224,MOZ
2023-02-24,5593201,5593201,5593201,MOZ
2023-02-25,5415511,5415511,5415511,MOZ
2023-02-26,5446591,5446591,5446591,MOZ
2023-02-27,5266935,5266935,5266935,MOZ
2023-02-28,5204037,5204037,5204037,MOZ
2023-03-01,5331755,5331755,5331755,MOZ
2023-03-02,5213061,5213061,5213061,MOZ
2023-03-03,5159824,5159824,5159824,MOZ
2023-03-04,5191134,5191134,5191134,MOZ
2023-03-05,5233345,5233345,5233345,MOZ
2023-03-06,5500246,5500246,5500246,MOZ
2023-03-07,5492530,5492530,5492530,MOZ
2023-03-08,5663513,5663513,5663513,MOZ
2023-03-09,5704719,5704719,5704719,MOZ
2023-03-10,5784768,5784768,5784768,MOZ
2023-03-11,5862292,5862292,5862292,MOZ
2023-03-12,6090230,6090230,6090230,MOZ
2023-03-13,6238463,6238463,6238463,MOZ
2023-03-14,6184957,6184957,6184957,MOZ
2023-03-15,6305451,6305451,6305451,MOZ
2023-03-16,6332500,6332500,6332500,MOZ
2023-03-17,6346712,6346712,6346712,MOZ
