date,value,value_high,value_low,iso_code
2022-06-22,2560264,2560264,2560264,MRT
2022-06-23,2546051,2546051,2546051,MRT
2022-06-24,2519817,2519817,2519817,MRT
2022-06-25,2510896,2510896,2510896,MRT
2022-06-26,2557419,2557419,2557419,MRT
2022-06-27,2543656,2543656,2543656,MRT
2022-06-28,2542888,2542888,2542888,MRT
2022-06-29,2568031,2568031,2568031,MRT
2022-06-30,2567435,2567435,2567435,MRT
2022-07-01,2537624,2537624,2537624,MRT
2022-07-02,2573280,2573280,2573280,MRT
2022-07-03,2569148,2569148,2569148,MRT
2022-07-04,2532503,2532503,2532503,MRT
2022-07-05,2534449,2534449,2534449,MRT
2022-07-06,2538968,2538968,2538968,MRT
2022-07-07,2506526,2506526,2506526,MRT
2022-07-08,2527095,2527095,2527095,MRT
2022-07-09,2530016,2530016,2530016,MRT
2022-07-10,2511578,2511578,2511578,MRT
2022-07-11,2507933,2507933,2507933,MRT
2022-07-12,2527749,2527749,2527749,MRT
2022-07-13,2553885,2553885,2553885,MRT
2022-07-14,2575687,2575687,2575687,MRT
2022-07-15,2581091,2581091,2581091,MRT
2022-07-16,2548822,2548822,2548822,MRT
2022-07-17,2550508,2550508,2550508,MRT
2022-07-18,2559036,2559036,2559036,MRT
2022-07-19,2572297,2572297,2572297,MRT
2022-07-20,2567349,2567349,2567349,MRT
2022-07-21,2557216,2557216,2557216,MRT
2022-07-22,2542218,2542218,2542218,MRT
2022-07-23,2539318,2539318,2539318,MRT
2022-07-24,2522547,2522547,2522547,MRT
2022-07-25,2554613,2554613,2554613,MRT
2022-07-26,2545523,2545523,2545523,MRT
2022-07-27,2536261,2536261,2536261,MRT
2022-07-28,2538826,2538826,2538826,MRT
2022-07-29,2529150,2529150,2529150,MRT
2022-07-30,2509240,2509240,2509240,MRT
2022-07-31,2488396,2488396,2488396,MRT
2022-08-01,2502120,2502120,2502120,MRT
2022-08-02,2487187,2487187,2487187,MRT
2022-08-03,2491879,2491879,2491879,MRT
2022-08-04,2490092,2490092,2490092,MRT
2022-08-05,2490709,2490709,2490709,MRT
2022-08-06,2475170,2475170,2475170,MRT
2022-08-07,2470719,2470719,2470719,MRT
2022-08-08,2463559,2463559,2463559,MRT
2022-08-09,2479494,2479494,2479494,MRT
2022-08-10,2449235,2449235,2449235,MRT
2022-08-11,2426207,2426207,2426207,MRT
2022-08-12,2410817,2410817,2410817,MRT
2022-08-13,2442416,2442416,2442416,MRT
2022-08-14,2438440,2438440,2438440,MRT
2022-08-15,2479618,2479618,2479618,MRT
2022-08-16,2491701,2491701,2491701,MRT
2022-08-17,2509402,2509402,2509402,MRT
2022-08-18,2513913,2513913,2513913,MRT
2022-08-19,2506147,2506147,2506147,MRT
2022-08-20,2473740,2473740,2473740,MRT
2022-08-21,2444915,2444915,2444915,MRT
2022-08-22,2426621,2426621,2426621,MRT
2022-08-23,2401616,2401616,2401616,MRT
2022-08-24,2399659,2399659,2399659,MRT
2022-08-25,2376380,2376380,2376380,MRT
2022-08-26,2397964,2397964,2397964,MRT
2022-08-27,2409558,2409558,2409558,MRT
2022-08-28,2355069,2355069,2355069,MRT
2022-08-29,2354909,2354909,2354909,MRT
2022-08-30,2353751,2353751,2353751,MRT
2022-08-31,2353806,2353806,2353806,MRT
2022-09-01,2334195,2334195,2334195,MRT
2022-09-02,2334463,2334463,2334463,MRT
2022-09-03,2330710,2330710,2330710,MRT
2022-09-04,2327911,2327911,2327911,MRT
2022-09-05,2333142,2333142,2333142,MRT
2022-09-06,2318991,2318991,2318991,MRT
2022-09-07,2317825,2317825,2317825,MRT
2022-09-08,2307329,2307329,2307329,MRT
2022-09-09,2304540,2304540,2304540,MRT
2022-09-10,2292952,2292952,2292952,MRT
2022-09-11,2288996,2288996,2288996,MRT
2022-09-12,2291972,2291972,2291972,MRT
2022-09-13,2271238,2271238,2271238,MRT
2022-09-14,2247828,2247828,2247828,MRT
2022-09-15,2251285,2251285,2251285,MRT
2022-09-16,2239978,2239978,2239978,MRT
2022-09-17,2247765,2247765,2247765,MRT
2022-09-18,2236126,2236126,2236126,MRT
2022-09-19,2244847,2244847,2244847,MRT
2022-09-20,2235311,2235311,2235311,MRT
2022-09-21,2232324,2232324,2232324,MRT
2022-09-22,2221197,2221197,2221197,MRT
