date,value,value_high,value_low,iso_code
2022-10-10,55326853,57640989,53734006,NGA
2022-10-11,55443433,57667198,53832694,NGA
2022-10-12,55433235,57603891,53899054,NGA
2022-10-13,55535293,57667116,53967386,NGA
2022-10-14,55365422,57497245,53797515,NGA
2022-10-15,55384365,57463435,53838344,NGA
2022-10-16,55389969,57464836,53842819,NGA
2022-10-17,55363075,57526921,53813623,NGA
2022-10-18,55556241,57692876,53984073,NGA
2022-10-19,55372043,57557069,53768907,NGA
2022-10-20,55517321,57716136,53911961,NGA
2022-10-21,55535712,57797615,53888551,NGA
2022-10-22,55574260,57803995,53937061,NGA
2022-10-23,55567761,57798608,53942892,NGA
2022-10-24,55603095,57596192,53995704,NGA
2022-10-25,55627247,57621232,53996331,NGA
2022-10-26,55620949,57614934,53990488,NGA
2022-10-27,55813586,58065556,53991858,NGA
2022-10-28,55869595,58092743,54043311,NGA
2022-10-29,55923685,58147963,54097401,NGA
2022-10-30,55997508,58221786,54171224,NGA
2022-10-31,55973958,58207952,54150568,NGA
2022-11-01,55870143,58071418,53926620,NGA
2022-11-02,55914057,58113234,53944100,NGA
2022-11-03,56159064,58358241,54189107,NGA
2022-11-04,56270130,58457480,54304987,NGA
2022-11-05,56258624,58461313,54290607,NGA
2022-11-06,56095721,58306847,54134621,NGA
2022-11-07,56050762,58261888,54079561,NGA
2022-11-08,56101191,58304949,54245028,NGA
2022-11-09,55877182,58087496,54013266,NGA
2022-11-10,55873043,57993088,53985521,NGA
2022-11-11,55881311,57981882,53983323,NGA
2022-11-12,56036082,58140853,54139543,NGA
2022-11-13,56209139,58354403,54244821,NGA
2022-11-14,56172748,58353352,54213798,NGA
2022-11-15,56116621,58537861,54245287,NGA
2022-11-16,56050323,58472928,54189101,NGA
2022-11-17,56097373,58632262,54239532,NGA
2022-11-18,56160007,58686575,54292430,NGA
2022-11-19,56199491,58765484,54317388,NGA
2022-11-20,56081903,58725901,54196339,NGA
2022-11-21,55754608,58499167,53846481,NGA
2022-11-22,55803689,58191234,53852524,NGA
2022-11-23,55732213,58102572,53781027,NGA
2022-11-24,55797823,58172795,53855186,NGA
2022-11-25,56169939,58589388,54242087,NGA
2022-11-26,56022814,58162309,54234551,NGA
2022-11-27,56166788,58388726,54350608,NGA
2022-11-28,56278735,58503550,54457956,NGA
2022-11-29,56228374,58458441,54415469,NGA
2022-11-30,56459467,58672785,54651376,NGA
2022-12-01,56293543,58525384,54508969,NGA
2022-12-02,56241689,58475988,54457860,NGA
2022-12-03,56378584,58629910,54596016,NGA
2022-12-04,56438068,58585127,54645485,NGA
2022-12-05,56517343,58664402,54724760,NGA
2022-12-06,56536805,58662503,54734892,NGA
2022-12-07,56910342,59373211,55114055,NGA
2022-12-08,57083620,59443986,55222318,NGA
2022-12-09,57351127,59720938,55492025,NGA
2022-12-10,57341395,59806995,55475371,NGA
2022-12-11,57418610,59889811,55586592,NGA
2022-12-12,57581125,60090557,55737808,NGA
2022-12-13,57666206,60173053,55820304,NGA
2022-12-14,57821899,60274596,55981014,NGA
2022-12-15,57839850,60312769,55999655,NGA
2022-12-16,57908186,60404333,56077352,NGA
2022-12-17,57917579,60200118,56108944,NGA
2022-12-18,57876063,60135336,56069787,NGA
2022-12-19,58052808,60346945,56226440,NGA
2022-12-20,58078132,60372269,56251764,NGA
2022-12-21,58054876,60463277,56254630,NGA
2022-12-22,58051400,60485782,56251493,NGA
2022-12-23,58091386,60541708,56292490,NGA
2022-12-24,58006491,60395342,56256426,NGA
2022-12-25,57962171,60319453,56211767,NGA
2022-12-26,57999880,60402821,56207226,NGA
2022-12-27,58087206,60518158,56322563,NGA
2022-12-28,57950415,60358918,56184837,NGA
2022-12-29,58080530,60465017,56296901,NGA
2022-12-30,58324735,60687584,56515156,NGA
2022-12-31,58547739,60835968,56731022,NGA
2023-01-01,58625805,60922106,56868867,NGA
2023-01-02,58497704,60792871,56731528,NGA
2023-01-03,58501742,60796909,56735566,NGA
2023-01-04,58509073,60823419,56732962,NGA
2023-01-05,58323838,60657374,56508080,NGA
2023-01-06,58086010,60468920,56247302,NGA
2023-01-07,58091205,60474115,56252497,NGA
2023-01-08,58119839,60471787,56268735,NGA
2023-01-09,58040105,60340527,56223170,NGA
2023-01-10,58053854,60404023,56214187,NGA
