date,value,value_high,value_low,iso_code
2022-11-07,498718,498718,498718,NIC
2022-11-08,499889,499889,499889,NIC
2022-11-09,495783,495783,495783,NIC
2022-11-10,491050,491050,491050,NIC
2022-11-11,496190,496190,496190,NIC
2022-11-12,495223,495223,495223,NIC
2022-11-13,496439,496439,496439,NIC
2022-11-14,496922,496922,496922,NIC
2022-11-15,499774,499774,499774,NIC
2022-11-16,500816,500816,500816,NIC
2022-11-17,504756,504756,504756,NIC
2022-11-18,501716,501716,501716,NIC
2022-11-19,501147,501147,501147,NIC
2022-11-20,506277,506277,506277,NIC
2022-11-21,507977,507977,507977,NIC
2022-11-22,511640,511640,511640,NIC
2022-11-23,521080,521080,521080,NIC
2022-11-24,521982,521982,521982,NIC
2022-11-25,528874,528874,528874,NIC
2022-11-26,534086,534086,534086,NIC
2022-11-27,538307,538307,538307,NIC
2022-11-28,537500,537500,537500,NIC
2022-11-29,538766,538766,538766,NIC
2022-11-30,542764,542764,542764,NIC
2022-12-01,549446,549446,549446,NIC
2022-12-02,558842,558842,558842,NIC
2022-12-03,559674,559674,559674,NIC
2022-12-04,566987,566987,566987,NIC
2022-12-05,573433,573433,573433,NIC
2022-12-06,581086,581086,581086,NIC
2022-12-07,585862,585862,585862,NIC
2022-12-08,588490,588490,588490,NIC
2022-12-09,591033,591033,591033,NIC
2022-12-10,601286,601286,601286,NIC
2022-12-11,603578,603578,603578,NIC
2022-12-12,609415,609415,609415,NIC
2022-12-13,619008,619008,619008,NIC
2022-12-14,624388,624388,624388,NIC
2022-12-15,621112,621112,621112,NIC
2022-12-16,620203,620203,620203,NIC
2022-12-17,616463,616463,616463,NIC
2022-12-18,620654,620654,620654,NIC
2022-12-19,612825,612825,612825,NIC
2022-12-20,607603,607603,607603,NIC
2022-12-21,600964,600964,600964,NIC
2022-12-22,601419,601419,601419,NIC
2022-12-23,598880,598880,598880,NIC
2022-12-24,591605,591605,591605,NIC
2022-12-25,596506,596506,596506,NIC
2022-12-26,610363,610363,610363,NIC
2022-12-27,615789,615789,615789,NIC
2022-12-28,619597,619597,619597,NIC
2022-12-29,620085,620085,620085,NIC
2022-12-30,625914,625914,625914,NIC
2022-12-31,618626,618626,618626,NIC
