date,value,value_high,value_low,iso_code
2022-11-07,5741592,6956026,4731254,NPL
2022-11-08,5741592,6956026,4731254,NPL
2022-11-09,5741592,6956026,4731254,NPL
2022-11-10,5741592,6956026,4731254,NPL
2022-11-11,5743782,6956026,4728292,NPL
2022-11-12,5743782,6956026,4728292,NPL
2022-11-13,5743782,6956026,4728292,NPL
2022-11-14,5743782,6956026,4728292,NPL
2022-11-15,5743782,6956026,4728292,NPL
2022-11-16,5779774,7010239,4761873,NPL
2022-11-17,5779774,7010239,4761873,NPL
2022-11-18,5772155,7010239,4761873,NPL
2022-11-19,5772155,7010239,4761873,NPL
2022-11-20,5743782,6956026,4728292,NPL
2022-11-21,5755133,6988302,4746890,NPL
2022-11-22,5755133,6988302,4746890,NPL
2022-11-23,5755133,6988302,4746890,NPL
2023-02-21,6458834,7665636,5429015,NPL
2022-11-24,5768989,6992521,4746890,NPL
2022-11-25,5782017,7014458,4761873,NPL
2022-11-26,5745356,6956026,4728292,NPL
2022-11-27,5785922,7003820,4763059,NPL
2022-11-28,5756573,6956026,4741420,NPL
2022-11-29,5745356,6956026,4728292,NPL
2022-11-30,5756573,6956026,4741420,NPL
2022-12-01,5869608,7129842,4844620,NPL
2022-12-02,5869608,7129842,4844620,NPL
2022-12-03,5829898,7104232,4829574,NPL
2022-12-04,5829898,7104232,4829574,NPL
2022-12-05,5876801,7129842,4871676,NPL
2022-12-06,5900131,7148312,4871676,NPL
2022-12-07,5900131,7148312,4871676,NPL
2022-12-08,5894386,7142883,4844571,NPL
2022-12-09,5819164,7089801,4822235,NPL
2022-12-10,5819164,7089801,4822235,NPL
2022-12-11,5817278,7107867,4812398,NPL
2022-12-12,5823697,7104232,4820546,NPL
2022-12-13,5881152,7129842,4844620,NPL
2022-12-14,5881152,7129842,4844620,NPL
2022-12-15,5823697,7104232,4820546,NPL
2022-12-16,5881152,7129842,4844620,NPL
2022-12-17,5881152,7129842,4844620,NPL
2022-12-18,5877911,7129842,4844620,NPL
2022-12-19,5820456,7104232,4820546,NPL
2022-12-20,5877911,7129842,4844620,NPL
2022-12-21,5880408,7129842,4861333,NPL
2022-12-22,5822953,7104232,4832129,NPL
2022-12-23,5803980,7048813,4773852,NPL
2022-12-24,5760178,6989845,4758426,NPL
2022-12-25,5807220,7057916,4791673,NPL
2022-12-26,5760178,6989845,4758426,NPL
2022-12-27,5800812,7041146,4774381,NPL
2022-12-28,5760178,6989845,4758426,NPL
2022-12-29,5760178,6989845,4758426,NPL
2022-12-30,5760178,6989845,4758426,NPL
2022-12-31,5766657,6989845,4758426,NPL
2023-01-01,5831901,7083223,4796312,NPL
2023-01-02,5846526,7085982,4810547,NPL
2023-01-03,5846526,7085982,4810547,NPL
2023-01-04,5849808,7085982,4810547,NPL
2023-01-05,5853890,7085998,4810547,NPL
2023-01-06,5853890,7085998,4810547,NPL
2023-01-07,5853890,7085998,4810547,NPL
2023-01-08,5853890,7085998,4818615,NPL
2023-01-09,5853890,7085998,4818615,NPL
2023-01-10,5856876,7085998,4818615,NPL
2023-01-11,5857053,7084763,4825715,NPL
2023-01-12,5857053,7084763,4825715,NPL
2023-01-13,5857053,7084763,4825715,NPL
2023-04-13,5806144,6861280,4890423,NPL
2023-01-14,5857053,7084763,4825715,NPL
2023-01-15,5857053,7084763,4825715,NPL
2023-01-16,5857053,7084763,4825715,NPL
2023-01-17,5872182,7092486,4829032,NPL
2023-01-18,5872182,7092486,4829032,NPL
2023-01-19,5872182,7093982,4837889,NPL
2023-01-20,5872352,7093982,4837889,NPL
2023-01-21,5866749,7073735,4832351,NPL
2023-01-22,5882756,7096175,4832351,NPL
2023-01-23,5921781,7139883,4860493,NPL
2023-01-24,5925104,7143124,4865586,NPL
2023-01-25,5922632,7143124,4865586,NPL
2023-01-26,5922632,7143124,4865586,NPL
2023-01-27,5950359,7177148,4895204,NPL
