date,value,value_high,value_low,iso_code
2022-09-25,15480142,18807600,12911508,PHL
2022-09-26,15483772,18822895,12912343,PHL
2022-09-27,15466292,18786796,12910149,PHL
2022-09-28,15466292,18786796,12910149,PHL
2022-09-29,15462867,18786681,12903363,PHL
2022-09-30,15444303,18775853,12903363,PHL
2022-10-01,15390745,18693862,12900718,PHL
2022-10-02,15402025,18693862,12900718,PHL
2022-10-03,15436869,18813667,12945307,PHL
2022-10-04,15505928,18912988,13010409,PHL
2022-10-05,15485427,18847327,13000679,PHL
2022-10-06,15577913,18959242,13046646,PHL
2022-10-07,15548608,18934767,13049412,PHL
2022-10-08,15548608,18934767,13049412,PHL
2022-10-09,15558814,18939731,13067181,PHL
2022-10-10,15561623,18949761,13067181,PHL
2022-10-11,15547366,18935043,13031667,PHL
2022-10-12,15547277,18930079,13038365,PHL
2022-10-13,15541208,18930079,13038365,PHL
2022-10-14,15541208,18930079,13029041,PHL
2022-10-15,15579448,18940505,13061069,PHL
2022-10-16,15579448,18940505,13070393,PHL
2022-10-17,15586859,18961428,13073212,PHL
2022-10-18,15612391,19020871,13090861,PHL
2022-10-19,15616426,19020871,13090861,PHL
2022-10-20,15595213,18971271,13082930,PHL
2022-10-21,15627396,19013756,13108420,PHL
2022-10-22,15595797,18954313,13090771,PHL
2022-10-23,15595797,18954313,13090771,PHL
2022-10-24,15609525,18971376,13092640,PHL
2022-10-25,15594263,18950948,13080714,PHL
2022-10-26,15593225,18950948,13080509,PHL
2022-10-27,15583428,18934428,13073409,PHL
2022-10-28,15569232,18938534,13035137,PHL
2022-10-29,15577002,18942665,13035137,PHL
2022-10-30,15574155,18943373,13035137,PHL
2022-10-31,15568118,18926771,13035011,PHL
2022-11-01,15900315,19326716,13255173,PHL
2022-11-02,15927522,19350117,13262581,PHL
2022-11-03,15935566,19371796,13294270,PHL
2022-11-04,15935566,19390402,13294270,PHL
2022-11-05,15933055,19390402,13294231,PHL
2022-11-06,15933789,19390402,13294026,PHL
2022-11-07,15913689,19377497,13290930,PHL
2022-11-08,15913689,19377497,13290930,PHL
2022-11-09,15918929,19394296,13263892,PHL
2022-11-10,15921661,19403143,13266027,PHL
2022-11-11,16029821,19581122,13344179,PHL
2022-11-12,16054064,19737067,13358505,PHL
2022-11-13,16063289,19745253,13363798,PHL
2022-11-14,16045419,19690203,13345903,PHL
2022-11-15,16037810,19690203,13345903,PHL
2022-11-16,15753277,19273980,13154826,PHL
2022-11-17,15755366,19273980,13154826,PHL
2022-11-18,15755193,19273980,13154826,PHL
2022-11-19,15722829,19211389,13144416,PHL
2022-11-20,15724229,19211389,13144416,PHL
2022-11-21,15784544,19317318,13215315,PHL
2022-11-22,15876153,19525784,13223940,PHL
2022-11-23,15890328,19462225,13272115,PHL
2022-11-24,15885198,19439898,13275179,PHL
2022-11-25,15819945,19382993,13244516,PHL
2022-11-26,15820848,19382993,13244516,PHL
2022-11-27,15824481,19402137,13249379,PHL
2022-11-28,15745795,19114360,13252148,PHL
2022-11-29,15745795,19114360,13253626,PHL
2022-11-30,15730369,19114360,13230824,PHL
2022-12-01,15778471,19187403,13260836,PHL
2022-12-02,15778471,19187403,13260836,PHL
2022-12-03,15882918,19519813,13301180,PHL
2022-12-04,15842642,19408673,13294414,PHL
2022-12-05,15818112,19253811,13265376,PHL
2022-12-06,15712557,19086414,13197725,PHL
2022-12-07,15730478,19092175,13192515,PHL
2022-12-08,15645314,18870048,13156639,PHL
2022-12-09,15650159,18876646,13166807,PHL
2022-12-10,15640117,18840288,13140546,PHL
2022-12-11,15477248,18624410,13015733,PHL
2022-12-12,15586854,18789113,13085121,PHL
2022-12-13,15575343,18700296,13119065,PHL
2022-12-14,15554054,18675283,13114048,PHL
2022-12-15,15559633,18676515,13107850,PHL
2022-12-16,15541192,18676515,13096965,PHL
2022-12-17,15518049,18708647,13065731,PHL
2022-12-18,15518519,18675432,13063702,PHL
2022-12-19,15515911,18673819,13081205,PHL
2022-12-20,15529470,18688403,13111006,PHL
2022-12-21,15152741,18198431,12790609,PHL
2022-12-22,15176561,18215746,12774102,PHL
2022-12-23,15177761,18199502,12775046,PHL
2022-12-24,15215398,18286796,12887484,PHL
2022-12-25,15148670,18326688,12892955,PHL
