date,value,value_high,value_low,iso_code
2022-07-03,1099989,1636804,882017,PNG
2022-07-04,1099989,1636804,882017,PNG
2022-07-05,1099989,1636804,882017,PNG
2022-07-06,1099989,1636804,882017,PNG
2022-07-07,1099989,1636804,882017,PNG
2022-07-08,1099989,1636804,882017,PNG
2022-07-09,1099989,1636804,882017,PNG
2022-07-10,1099989,1636804,882017,PNG
2022-07-11,1100713,1637030,882295,PNG
2022-07-12,1100713,1637030,882295,PNG
2022-07-13,1100713,1637030,882295,PNG
2022-07-14,1100713,1637030,882295,PNG
2022-07-15,1100713,1637030,882295,PNG
2022-07-16,1100713,1637030,882295,PNG
2022-07-17,1100713,1637030,882295,PNG
2022-07-18,1100713,1637030,882295,PNG
2022-07-19,1100713,1637030,882295,PNG
2022-07-20,1100713,1637030,882295,PNG
2022-07-21,1100797,1637068,882600,PNG
2022-07-22,1100893,1636794,881410,PNG
2022-07-23,1100893,1636794,881410,PNG
2022-07-24,1100893,1636794,881410,PNG
2022-07-25,1100893,1636794,881410,PNG
2022-07-26,1100893,1636794,881410,PNG
2022-07-27,1100893,1636794,881410,PNG
2022-07-28,1100893,1636794,881410,PNG
2022-07-29,1100893,1636794,881410,PNG
2022-07-30,1100893,1636794,881410,PNG
2022-07-31,1100893,1636794,881410,PNG
2022-08-01,1369648,1567598,1129492,PNG
2022-08-02,1369648,1567598,1129492,PNG
2022-08-03,1369648,1567598,1129492,PNG
2022-08-04,1369648,1567598,1129492,PNG
2022-08-05,1369648,1567598,1129492,PNG
2022-08-06,1369648,1567598,1129492,PNG
2022-08-07,1369648,1567598,1129492,PNG
2022-08-08,1369648,1567598,1129492,PNG
2022-08-09,1369648,1567598,1129492,PNG
2022-08-10,1369648,1567598,1129492,PNG
2022-08-11,1369667,1569000,1128658,PNG
2022-08-12,1369667,1569000,1128658,PNG
2022-08-13,1369667,1569000,1128658,PNG
2022-08-14,1369667,1569000,1128658,PNG
2022-08-15,1370686,1569855,1128658,PNG
2022-08-16,1370686,1569855,1128658,PNG
2022-08-17,1369680,1569127,1128658,PNG
2022-08-18,1369667,1569000,1128658,PNG
2022-08-19,1369667,1569000,1128658,PNG
2022-08-20,1369680,1569000,1128658,PNG
2022-08-21,1368582,1568305,1128121,PNG
2022-08-22,1368582,1568305,1128121,PNG
2022-08-23,1368533,1568305,1128121,PNG
2022-08-24,1368533,1568305,1128121,PNG
2022-08-25,1368533,1568305,1128121,PNG
2022-08-26,1368533,1568305,1128121,PNG
2022-08-27,1368533,1568305,1128121,PNG
2022-08-28,1368533,1568305,1128121,PNG
2022-08-29,1368533,1568305,1128121,PNG
2022-08-30,1368533,1568305,1128121,PNG
2022-08-31,1368582,1568305,1128121,PNG
2022-09-01,1364818,1564275,1125991,PNG
2022-09-02,1364818,1564275,1125991,PNG
2022-09-03,1364818,1564275,1125991,PNG
2022-09-04,1364818,1564275,1125991,PNG
2022-09-05,1364818,1564275,1125991,PNG
2022-09-06,1364930,1564275,1125991,PNG
2022-09-07,1364930,1564275,1125991,PNG
2022-09-08,1365636,1565034,1125991,PNG
2022-09-09,1365636,1565034,1125991,PNG
2022-09-10,1365636,1565034,1125991,PNG
2022-09-11,1359191,1562959,1123431,PNG
2022-09-12,1359191,1562959,1123431,PNG
2022-09-13,1359191,1562959,1123848,PNG
2022-09-14,1359191,1562959,1123848,PNG
2022-09-15,1359191,1562959,1123848,PNG
2022-09-16,1359191,1562959,1123848,PNG
2022-09-17,1359191,1562959,1123848,PNG
2022-09-18,1359191,1562959,1123848,PNG
2022-09-19,1359191,1562959,1123848,PNG
2022-09-20,1358598,1562134,1123431,PNG
2022-09-21,1353160,1555097,1120381,PNG
2022-09-22,1353160,1555097,1120381,PNG
2022-09-23,1353160,1555097,1120381,PNG
2022-09-24,1353160,1555097,1120381,PNG
2022-09-25,1353160,1555097,1120381,PNG
2022-09-26,1353160,1555097,1120381,PNG
2022-09-27,1353160,1555097,1120381,PNG
2022-09-28,1353346,1555056,1120860,PNG
2022-09-29,1353346,1555056,1120860,PNG
2022-09-30,1353346,1555056,1120860,PNG
2022-10-01,1358443,1578887,1156737,PNG
2022-10-02,1327212,1522412,1109116,PNG
2022-10-03,1327212,1522412,1109116,PNG
