date,value,value_high,value_low,iso_code
2022-07-13,1020324,1185596,869009,PSE
2022-07-14,1020324,1185596,869009,PSE
2022-07-15,1020324,1188009,869009,PSE
2022-07-16,1020324,1188009,869009,PSE
2022-07-17,1020324,1188009,869009,PSE
2022-07-18,1020324,1188009,869009,PSE
2022-07-19,1018049,1185596,869009,PSE
2022-07-20,1018049,1185596,869009,PSE
2022-07-21,994598,1147725,854529,PSE
2022-07-22,986473,1147725,853970,PSE
2022-07-23,986473,1147725,853970,PSE
2022-07-24,986473,1147725,853970,PSE
2022-07-25,986473,1147725,853970,PSE
2022-07-26,986473,1147725,853970,PSE
2022-07-27,986473,1147725,853970,PSE
2022-07-28,986473,1147725,853970,PSE
2022-07-29,986473,1147725,853970,PSE
2022-07-30,986473,1147725,853970,PSE
2022-07-31,975168,1128333,847833,PSE
2022-08-01,978260,1143098,835065,PSE
2022-08-02,978260,1143098,835065,PSE
2022-08-03,978260,1143098,835065,PSE
2022-08-04,978260,1143098,835065,PSE
2022-08-05,978260,1143098,835065,PSE
2022-08-06,978260,1143098,835065,PSE
2022-08-07,973325,1137138,835065,PSE
2022-08-08,973325,1137138,835065,PSE
2022-08-09,978260,1143098,835065,PSE
2022-08-10,978260,1143098,835065,PSE
2022-08-11,979122,1189212,843420,PSE
2022-08-12,979122,1189212,843420,PSE
2022-08-13,979122,1189212,843420,PSE
2022-08-14,979122,1189212,843420,PSE
2022-08-15,976434,1156755,835209,PSE
2022-08-16,976434,1156755,835209,PSE
2022-08-17,976434,1156755,835209,PSE
2022-08-18,976434,1156755,835209,PSE
2022-08-19,976434,1156755,835209,PSE
2022-08-20,976434,1156755,835209,PSE
2022-08-21,966468,1127457,830375,PSE
2022-08-22,966468,1127457,830375,PSE
2022-08-23,962149,1116962,830375,PSE
2022-08-24,962149,1116962,830375,PSE
2022-08-25,967743,1132778,830375,PSE
2022-08-26,967087,1132778,830375,PSE
2022-08-27,967087,1132778,830375,PSE
2022-08-28,967087,1132778,830375,PSE
2022-08-29,967087,1132778,830375,PSE
2022-08-30,967087,1132778,830375,PSE
2022-08-31,957258,1118887,820363,PSE
2022-09-01,957258,1118887,820363,PSE
2022-09-02,957281,1122009,820363,PSE
2022-09-03,957281,1122009,820363,PSE
2022-09-04,957281,1122009,820363,PSE
2022-09-05,957281,1122009,820363,PSE
2022-09-06,957281,1122009,820363,PSE
2022-09-07,957281,1122009,820363,PSE
2022-09-08,957281,1122009,820363,PSE
2022-09-09,957281,1122009,820363,PSE
2022-09-10,957281,1122009,820363,PSE
2022-09-11,953946,1118423,820363,PSE
2022-09-12,953946,1118423,820363,PSE
2022-09-13,957281,1122009,820363,PSE
2022-09-14,957281,1122009,820363,PSE
2022-09-15,957258,1118887,820363,PSE
2022-09-16,953946,1106082,822656,PSE
2022-09-17,953946,1105148,822656,PSE
2022-09-18,953946,1105148,822656,PSE
2022-09-19,953946,1101243,822656,PSE
2022-09-20,949777,1093243,822656,PSE
2022-09-21,949777,1093243,820665,PSE
2022-09-22,952635,1093243,820665,PSE
2022-09-23,952635,1093243,820665,PSE
2022-09-24,952635,1093243,820665,PSE
2022-09-25,952635,1093243,820665,PSE
2022-09-26,952635,1093243,820665,PSE
2022-09-27,952635,1093243,820665,PSE
2022-09-28,952635,1093243,820665,PSE
2022-09-29,949777,1093243,820665,PSE
2022-09-30,949777,1093243,820665,PSE
2022-10-01,938831,1064004,813434,PSE
2022-10-02,938831,1064004,813434,PSE
2022-10-03,938831,1064004,813434,PSE
2022-10-04,944164,1064004,813434,PSE
2022-10-05,944164,1064004,813434,PSE
2022-10-06,944164,1064004,813434,PSE
2022-10-07,944164,1064004,813434,PSE
2022-10-08,944164,1064004,813434,PSE
2022-10-09,944164,1064004,813434,PSE
2022-10-10,944164,1064004,813434,PSE
2022-10-11,944164,1064004,813434,PSE
2022-10-12,944164,1064004,813434,PSE
2022-10-13,947574,1064004,813434,PSE
