date,value,value_high,value_low,iso_code
2022-07-03,9752083,11814219,7939541,SDN
2022-07-04,9708461,11760810,7921299,SDN
2022-07-05,9708461,11760810,7921299,SDN
2022-07-06,9709761,11757152,7920442,SDN
2022-07-07,9709761,11757152,7920442,SDN
2022-07-08,9683608,11701812,7889899,SDN
2022-07-09,9683882,11701812,7889899,SDN
2022-07-10,9683882,11700699,7889899,SDN
2022-07-11,9921696,11970502,8026097,SDN
2022-07-12,9921696,11970502,8026097,SDN
2022-07-13,9921911,11970502,8026097,SDN
2022-07-14,10330730,12265385,8333810,SDN
2022-07-15,10334154,12265385,8333810,SDN
2022-07-16,10334317,12265385,8335769,SDN
2022-07-17,10333989,12265385,8333456,SDN
2022-07-18,10333081,12265385,8333456,SDN
2022-07-19,10333527,12265385,8333850,SDN
2022-07-20,10334435,12265385,8333850,SDN
2022-07-21,10338137,12263531,8337934,SDN
2022-07-22,10228172,12175196,8253345,SDN
2022-07-23,10228172,12175196,8253345,SDN
2022-07-24,10228172,12175196,8253345,SDN
2022-07-25,10228172,12175196,8253345,SDN
2022-07-26,10228172,12175196,8253345,SDN
2022-07-27,10228172,12175196,8253345,SDN
2022-07-28,10228172,12175196,8253345,SDN
2022-07-29,10228172,12175196,8253345,SDN
2022-07-30,10228172,12175196,8253345,SDN
2022-07-31,10228172,12175196,8253345,SDN
2022-08-01,10415063,12428095,8419948,SDN
2022-08-02,10406439,12363735,8414764,SDN
2022-08-03,10407935,12364360,8414764,SDN
2022-08-04,10416559,12428720,8419948,SDN
2022-08-05,10409623,12428720,8416059,SDN
2022-08-06,10379580,12379309,8358676,SDN
2022-08-07,10456273,12466440,8432322,SDN
2022-08-08,10456273,12478344,8432322,SDN
2022-08-09,10460059,12496761,8432322,SDN
2022-08-10,10460059,12496761,8432322,SDN
2022-08-11,10463238,12497731,8455850,SDN
2022-08-12,10463238,12497731,8455850,SDN
2022-08-13,10474923,12497731,8456988,SDN
2022-08-14,11270155,13582734,9004516,SDN
2022-08-15,11270155,13582734,9004516,SDN
2022-08-16,11275001,13592337,9006698,SDN
2022-08-17,11275001,13592337,9006698,SDN
2022-08-18,11269679,13559825,9008133,SDN
2022-08-19,11287413,13572544,9027095,SDN
2022-08-20,11286676,13575259,9027095,SDN
2022-08-21,11309417,13583701,9038238,SDN
2022-08-22,11309417,13588523,9038238,SDN
2022-08-23,11309417,13588523,9038238,SDN
2022-08-24,11309417,13588523,9038238,SDN
2022-08-25,11309417,13588523,9038238,SDN
2022-08-26,11308516,13583701,9038238,SDN
2022-08-27,11308516,13583701,9038238,SDN
2022-08-28,11309417,13583701,9038238,SDN
2022-08-29,11309417,13583701,9038238,SDN
2022-08-30,11309417,13583701,9038238,SDN
2022-08-31,11309417,13583701,9038238,SDN
2022-09-01,10896773,13073875,8841710,SDN
2022-09-02,10878995,13047785,8829142,SDN
2022-09-03,10877250,13044405,8823987,SDN
2022-09-04,10883465,13044300,8832533,SDN
2022-09-05,10883302,13044300,8832533,SDN
2022-09-06,10883302,13044300,8832533,SDN
2022-09-07,10887475,13053903,8833700,SDN
2022-09-08,10887475,13053903,8833700,SDN
2022-09-09,10887475,13053903,8833700,SDN
2022-09-10,10887475,13053903,8833700,SDN
2022-09-11,10089861,12042999,8257027,SDN
2022-09-12,10090462,12042999,8260907,SDN
2022-09-13,10091380,12042999,8259101,SDN
2022-09-14,10091380,12042999,8259101,SDN
2022-09-15,10091380,12045457,8261084,SDN
2022-09-16,10091380,12046939,8261084,SDN
2022-09-17,10091018,12046939,8261084,SDN
2022-09-18,10134981,12150553,8282564,SDN
2022-09-19,10203833,12233417,8335396,SDN
2022-09-20,10203833,12233417,8335396,SDN
2022-09-21,10190217,12218877,8304114,SDN
2022-09-22,10189033,12218162,8301554,SDN
2022-09-23,10189033,12218162,8301554,SDN
2022-09-24,10189033,12218162,8301554,SDN
2022-09-25,10189289,12218162,8301554,SDN
2022-09-26,10194012,12239303,8305178,SDN
2022-09-27,10200573,12249581,8315319,SDN
2022-09-28,10203286,12251034,8315833,SDN
2022-09-29,10203286,12251034,8315833,SDN
2022-09-30,10202007,12248468,8315604,SDN
2022-10-01,10097347,12096565,8240497,SDN
2022-10-02,10097347,12096565,8240497,SDN
2022-10-03,10170945,12214407,8277342,SDN
