date,value,value_high,value_low,iso_code
2022-08-12,10829998,10829998,10829998,SOM
2022-08-13,10792986,10792986,10792986,SOM
2022-08-14,10797204,10797204,10797204,SOM
2022-08-15,10820743,10820743,10820743,SOM
2022-08-16,10829630,10829630,10829630,SOM
2022-08-17,10840082,10840082,10840082,SOM
2022-08-18,10860129,10860129,10860129,SOM
2022-08-19,10863530,10863530,10863530,SOM
2022-08-20,10941761,10941761,10941761,SOM
2022-08-21,10960361,10960361,10960361,SOM
2022-08-22,10911978,10911978,10911978,SOM
2022-08-23,10887887,10887887,10887887,SOM
2022-08-24,10879700,10879700,10879700,SOM
2022-08-25,10865999,10865999,10865999,SOM
2022-08-26,10992563,10992563,10992563,SOM
2022-08-27,10970548,10970548,10970548,SOM
2022-08-28,10973477,10973477,10973477,SOM
2022-08-29,10963994,10963994,10963994,SOM
2022-08-30,10958126,10958126,10958126,SOM
2022-08-31,10991134,10991134,10991134,SOM
2022-09-01,10976453,10976453,10976453,SOM
2022-09-02,14521178,14521178,14521178,SOM
2022-09-03,14498561,14498561,14498561,SOM
2022-09-04,14487302,14487302,14487302,SOM
2022-09-05,14509672,14509672,14509672,SOM
2022-09-06,14522030,14522030,14522030,SOM
2022-09-07,14558077,14558077,14558077,SOM
2022-09-08,14543187,14543187,14543187,SOM
2022-09-09,14587511,14587511,14587511,SOM
2022-09-10,14611611,14611611,14611611,SOM
2022-09-11,14615376,14615376,14615376,SOM
2022-09-12,14663485,14663485,14663485,SOM
2022-09-13,14667755,14667755,14667755,SOM
2022-09-14,14687164,14687164,14687164,SOM
2022-09-15,14540628,14540628,14540628,SOM
2022-09-16,14511217,14511217,14511217,SOM
2022-09-17,14497688,14497688,14497688,SOM
2022-09-18,14496491,14496491,14496491,SOM
2022-09-19,14487667,14487667,14487667,SOM
2022-09-20,14485071,14485071,14485071,SOM
2022-09-21,14535622,14535622,14535622,SOM
2022-09-22,14533744,14533744,14533744,SOM
2022-09-23,14526588,14526588,14526588,SOM
2022-09-24,14497754,14497754,14497754,SOM
2022-09-25,14546928,14546928,14546928,SOM
2022-09-26,14533247,14533247,14533247,SOM
2022-09-27,14535230,14535230,14535230,SOM
2022-09-28,14536949,14536949,14536949,SOM
2022-09-29,14522154,14522154,14522154,SOM
2022-09-30,14678075,14678075,14678075,SOM
2022-10-01,14680275,14680275,14680275,SOM
2022-10-02,14686478,14686478,14686478,SOM
2022-10-03,14671033,14671033,14671033,SOM
2022-10-04,14682912,14682912,14682912,SOM
2022-10-05,14568988,14568988,14568988,SOM
2022-10-06,14584972,14584972,14584972,SOM
2022-10-07,14575584,14575584,14575584,SOM
2022-10-08,14629914,14629914,14629914,SOM
2022-10-09,14645183,14645183,14645183,SOM
2022-10-10,14686867,14686867,14686867,SOM
2022-10-11,14677613,14677613,14677613,SOM
2022-10-12,14671392,14671392,14671392,SOM
2022-10-13,14680710,14680710,14680710,SOM
2022-10-14,14676096,14676096,14676096,SOM
2022-10-15,14683199,14683199,14683199,SOM
2022-10-16,14673363,14673363,14673363,SOM
2022-10-17,14660247,14660247,14660247,SOM
2022-10-18,14658389,14658389,14658389,SOM
2022-10-19,14602816,14602816,14602816,SOM
2022-10-20,14553193,14553193,14553193,SOM
2022-10-21,14618819,14618819,14618819,SOM
2022-10-22,14624842,14624842,14624842,SOM
2022-10-23,14641201,14641201,14641201,SOM
2022-10-24,14651328,14651328,14651328,SOM
2022-10-25,14657100,14657100,14657100,SOM
2022-10-26,14670413,14670413,14670413,SOM
2022-10-27,14691109,14691109,14691109,SOM
2022-10-28,14710800,14710800,14710800,SOM
2022-10-29,14696413,14696413,14696413,SOM
2022-10-30,14632564,14632564,14632564,SOM
2022-10-31,14598929,14598929,14598929,SOM
2022-11-01,14583308,14583308,14583308,SOM
2022-11-02,14590784,14590784,14590784,SOM
2022-11-03,14598449,14598449,14598449,SOM
2022-11-04,14561955,14561955,14561955,SOM
2022-11-05,14546180,14546180,14546180,SOM
2022-11-06,14561823,14561823,14561823,SOM
2022-11-07,14574357,14574357,14574357,SOM
2022-11-08,14570726,14570726,14570726,SOM
2022-11-09,14579066,14579066,14579066,SOM
2022-11-10,14602678,14602678,14602678,SOM
2022-11-11,14611062,14611062,14611062,SOM
2022-11-12,14593275,14593275,14593275,SOM
