date,value,value_high,value_low,iso_code
2022-08-22,36304,41076,31701,STP
2022-08-23,36346,41234,31701,STP
2022-08-24,36346,41237,31701,STP
2022-08-25,36458,41555,31702,STP
2022-08-26,36461,41555,31702,STP
2022-08-27,36458,41555,31702,STP
2022-08-28,36458,41555,31702,STP
2022-08-29,36461,41555,31702,STP
2022-08-30,36461,41555,31702,STP
2022-08-31,36574,41902,31702,STP
2022-09-01,36574,41902,31706,STP
2022-09-02,36572,41902,31706,STP
2022-09-03,36572,41902,31706,STP
2022-09-04,36572,41902,31706,STP
2022-09-05,36572,41902,31706,STP
2022-09-06,36572,41902,31706,STP
2022-09-07,36572,41902,31706,STP
2022-09-08,36572,41902,31706,STP
2022-09-09,36572,41902,31706,STP
2022-09-10,36572,41902,31706,STP
2022-09-11,36601,41906,31708,STP
2022-09-12,36601,41906,31708,STP
2022-09-13,36601,41906,31708,STP
2022-09-14,36601,41906,31708,STP
2022-09-15,36601,41906,31708,STP
2022-09-16,36601,41906,31708,STP
2022-09-17,36601,41906,31708,STP
2022-09-18,36601,41906,31708,STP
2022-09-19,36601,41906,31708,STP
2022-09-20,36601,41906,31708,STP
2022-09-21,36603,42520,31708,STP
2022-09-22,36603,42520,31728,STP
2022-09-23,36603,42520,31728,STP
2022-09-24,36603,42520,31728,STP
2022-09-25,36603,42520,31728,STP
2022-09-26,36603,42520,31728,STP
2022-09-27,36603,42520,31731,STP
2022-09-28,36603,42520,31728,STP
2022-09-29,36617,42520,31878,STP
2022-09-30,36617,42520,31878,STP
2022-10-01,36617,42520,31878,STP
2022-10-02,36603,42520,31731,STP
2022-10-03,36603,42520,31731,STP
2022-10-04,36603,42520,31731,STP
2022-10-05,36603,42520,31728,STP
2022-10-06,36288,41906,31552,STP
2022-10-07,36288,41906,31552,STP
2022-10-08,36288,41906,31552,STP
2022-10-09,36288,41906,31552,STP
2022-10-10,36227,41906,31552,STP
2022-10-11,35840,41764,31197,STP
2022-10-12,35840,41764,31197,STP
2022-10-13,35840,41764,31197,STP
2022-10-14,35840,41764,31197,STP
2022-10-15,35619,41459,30265,STP
2022-10-16,35619,41459,30265,STP
2022-10-17,35619,41459,30265,STP
2022-10-18,35620,41459,30265,STP
2022-10-19,35620,41459,30265,STP
2022-10-20,35620,41459,30265,STP
2022-10-21,35597,40956,30231,STP
2022-10-22,35597,40956,30231,STP
2022-10-23,35597,40956,30231,STP
2022-10-24,35597,40956,30231,STP
2022-10-25,35597,40956,30231,STP
2022-10-26,35597,40956,30231,STP
2022-10-27,35597,40956,30231,STP
2022-10-28,35545,40946,30231,STP
2022-10-29,35545,40946,30231,STP
2022-10-30,35545,40946,30231,STP
2022-10-31,35545,40946,30231,STP
2022-11-01,35467,40781,30229,STP
2022-11-02,35470,40950,30229,STP
2022-11-03,35470,40950,30229,STP
2022-11-04,35470,40950,30229,STP
2022-11-05,35470,40950,30229,STP
2022-11-06,35470,40950,30229,STP
2022-11-07,35470,40950,30229,STP
2022-11-08,35470,40950,30229,STP
2022-11-09,35470,40950,30229,STP
2022-11-10,35752,41362,30508,STP
2022-11-11,35325,40643,30039,STP
2022-11-12,35303,40643,30039,STP
2022-11-13,35297,40643,30039,STP
2022-11-14,35297,40643,30039,STP
2022-11-15,35290,40643,29833,STP
2022-11-16,35287,40251,29833,STP
2022-11-17,35129,40451,29833,STP
2022-11-18,35129,40451,29833,STP
2022-11-19,35129,40335,29832,STP
2022-11-20,35067,40335,29828,STP
2022-11-21,35020,40291,29697,STP
2022-11-22,34952,40286,29308,STP
