date,value,value_high,value_low,iso_code
2022-11-07,10205480,10205480,10205480,SYR
2022-11-08,10077466,10077466,10077466,SYR
2022-11-09,9986409,9986409,9986409,SYR
2022-11-10,9924083,9924083,9924083,SYR
2022-11-11,9871197,9871197,9871197,SYR
2022-11-12,9907271,9907271,9907271,SYR
2022-11-13,10026122,10026122,10026122,SYR
2022-11-14,10001649,10001649,10001649,SYR
2022-11-15,9977874,9977874,9977874,SYR
2022-11-16,9943584,9943584,9943584,SYR
2022-11-17,9909337,9909337,9909337,SYR
2022-11-18,9915837,9915837,9915837,SYR
2022-11-19,9737153,9737153,9737153,SYR
2022-11-20,9630106,9630106,9630106,SYR
2022-11-21,9754041,9754041,9754041,SYR
2022-11-22,9772912,9772912,9772912,SYR
2022-11-23,9791148,9791148,9791148,SYR
2022-11-24,9834373,9834373,9834373,SYR
2022-11-25,9838502,9838502,9838502,SYR
2022-11-26,9686236,9686236,9686236,SYR
2022-11-27,9633639,9633639,9633639,SYR
2022-11-28,9955501,9955501,9955501,SYR
2022-11-29,10032827,10032827,10032827,SYR
2022-11-30,10024874,10024874,10024874,SYR
2022-12-01,10051203,10051203,10051203,SYR
2022-12-02,10060726,10060726,10060726,SYR
2022-12-03,10087251,10087251,10087251,SYR
2022-12-04,10090725,10090725,10090725,SYR
2022-12-05,10070148,10070148,10070148,SYR
2022-12-06,10085331,10085331,10085331,SYR
2022-12-07,10051774,10051774,10051774,SYR
2022-12-08,9890591,9890591,9890591,SYR
2022-12-09,9881323,9881323,9881323,SYR
2022-12-10,9809575,9809575,9809575,SYR
2022-12-11,9736732,9736732,9736732,SYR
2022-12-12,9788812,9788812,9788812,SYR
2022-12-13,9804048,9804048,9804048,SYR
2022-12-14,9738675,9738675,9738675,SYR
2022-12-15,9803423,9803423,9803423,SYR
2022-12-16,9837492,9837492,9837492,SYR
2022-12-17,10061327,10061327,10061327,SYR
2022-12-18,10101049,10101049,10101049,SYR
2022-12-19,10106528,10106528,10106528,SYR
2022-12-20,10277458,10277458,10277458,SYR
2022-12-21,10366339,10366339,10366339,SYR
2022-12-22,10343313,10343313,10343313,SYR
2022-12-23,10298113,10298113,10298113,SYR
2022-12-24,10115947,10115947,10115947,SYR
2022-12-25,10214982,10214982,10214982,SYR
2022-12-26,10287615,10287615,10287615,SYR
2022-12-27,10433310,10433310,10433310,SYR
2022-12-28,10490587,10490587,10490587,SYR
2022-12-29,10322878,10322878,10322878,SYR
2022-12-30,10325811,10325811,10325811,SYR
2022-12-31,10344663,10344663,10344663,SYR
2023-01-01,10308198,10308198,10308198,SYR
2023-01-02,10333087,10333087,10333087,SYR
2023-01-03,10333148,10333148,10333148,SYR
2023-01-04,10351529,10351529,10351529,SYR
2023-01-05,10338666,10338666,10338666,SYR
2023-01-06,10361227,10361227,10361227,SYR
2023-01-07,10401231,10401231,10401231,SYR
2023-01-08,10363650,10363650,10363650,SYR
2023-01-09,10548642,10548642,10548642,SYR
2023-01-10,10541095,10541095,10541095,SYR
2023-01-11,10657331,10657331,10657331,SYR
2023-01-12,10632340,10632340,10632340,SYR
2023-01-13,10686080,10686080,10686080,SYR
2023-01-14,10829531,10829531,10829531,SYR
2023-01-15,10911600,10911600,10911600,SYR
2023-01-16,10968337,10968337,10968337,SYR
2023-01-17,10891591,10891591,10891591,SYR
2023-01-18,10888422,10888422,10888422,SYR
2023-01-19,10936244,10936244,10936244,SYR
2023-01-20,10857659,10857659,10857659,SYR
2023-01-21,10850775,10850775,10850775,SYR
2023-01-22,10864319,10864319,10864319,SYR
2023-01-23,10968702,10968702,10968702,SYR
2023-01-24,11141427,11141427,11141427,SYR
2023-01-25,11085945,11085945,11085945,SYR
2023-01-26,11103106,11103106,11103106,SYR
2023-01-27,11121233,11121233,11121233,SYR
2023-01-28,11185450,11185450,11185450,SYR
2023-01-29,11190771,11190771,11190771,SYR
2023-01-30,11136402,11136402,11136402,SYR
2023-01-31,11127279,11127279,11127279,SYR
2023-02-01,11193578,11193578,11193578,SYR
2023-02-02,11192789,11192789,11192789,SYR
2023-02-03,11193144,11193144,11193144,SYR
2023-02-04,11191065,11191065,11191065,SYR
2023-02-05,11191586,11191586,11191586,SYR
2023-02-06,11171541,11171541,11171541,SYR
2023-02-07,11057631,11057631,11057631,SYR
2023-02-08,11286125,11286125,11286125,SYR
2023-02-09,11280773,11280773,11280773,SYR
2023-02-10,11394122,11394122,11394122,SYR
2023-02-11,11255595,11255595,11255595,SYR
2023-02-12,11265765,11265765,11265765,SYR
2023-02-13,11193207,11193207,11193207,SYR
2023-02-14,11115522,11115522,11115522,SYR
2023-02-15,10987388,10987388,10987388,SYR
2023-02-16,10939925,10939925,10939925,SYR
2023-02-17,10821329,10821329,10821329,SYR
2023-02-18,10850254,10850254,10850254,SYR
2023-02-19,10982838,10982838,10982838,SYR
2023-02-20,10928244,10928244,10928244,SYR
2023-02-21,11081494,11081494,11081494,SYR
2023-02-22,11013682,11013682,11013682,SYR
2023-02-23,10946696,10946696,10946696,SYR
2023-02-24,11041006,11041006,11041006,SYR
2023-02-25,11127692,11127692,11127692,SYR
2023-02-26,11200439,11200439,11200439,SYR
2023-02-27,11187392,11187392,11187392,SYR
2023-02-28,11162699,11162699,11162699,SYR
2023-03-01,11126701,11126701,11126701,SYR
2023-03-02,11147001,11147001,11147001,SYR
2023-03-03,11176862,11176862,11176862,SYR
2023-03-04,11192583,11192583,11192583,SYR
2023-03-05,11147229,11147229,11147229,SYR
2023-03-06,11108808,11108808,11108808,SYR
2023-03-07,11196237,11196237,11196237,SYR
2023-03-08,11120320,11120320,11120320,SYR
2023-03-09,11120320,11120320,11120320,SYR
2023-03-10,11283839,11283839,11283839,SYR
2023-03-11,11199433,11199433,11199433,SYR
2023-03-12,11265460,11265460,11265460,SYR
2023-03-13,11246537,11246537,11246537,SYR
2023-03-14,11423822,11423822,11423822,SYR
2023-03-15,11453124,11453124,11453124,SYR
2023-03-16,11486938,11486938,11486938,SYR
2023-03-17,11385339,11385339,11385339,SYR
2023-03-18,11461828,11461828,11461828,SYR
2023-03-19,11503843,11503843,11503843,SYR
2023-03-20,11568660,11568660,11568660,SYR
2023-03-21,11611672,11611672,11611672,SYR
2023-03-22,11508413,11508413,11508413,SYR
2023-03-23,11552968,11552968,11552968,SYR
2023-03-24,11404571,11404571,11404571,SYR
2023-03-25,11398023,11398023,11398023,SYR
2023-03-26,11362943,11362943,11362943,SYR
2023-03-27,11297277,11297277,11297277,SYR
2023-03-28,11211941,11211941,11211941,SYR
2023-03-29,11162884,11162884,11162884,SYR
2023-03-30,11173294,11173294,11173294,SYR
2023-03-31,11244194,11244194,11244194,SYR
2023-04-01,11248187,11248187,11248187,SYR
2023-04-02,11267499,11267499,11267499,SYR
2023-04-03,11220752,11220752,11220752,SYR
2023-04-04,11216094,11216094,11216094,SYR
2023-04-05,11242370,11242370,11242370,SYR
2023-04-06,11289412,11289412,11289412,SYR
2023-04-07,11205938,11205938,11205938,SYR
2023-04-08,11173558,11173558,11173558,SYR
2023-04-09,11135285,11135285,11135285,SYR
2023-04-10,10985201,10985201,10985201,SYR
2023-04-11,10876254,10876254,10876254,SYR
2023-04-12,10532727,10532727,10532727,SYR
