date,value,value_high,value_low,iso_code
2022-11-07,5494033,5494033,5494033,TCD
2022-11-08,5502436,5502436,5502436,TCD
2022-11-09,5531985,5531985,5531985,TCD
2022-11-10,5532871,5532871,5532871,TCD
2022-11-11,5546784,5546784,5546784,TCD
2022-11-12,5567064,5567064,5567064,TCD
2022-11-13,5569022,5569022,5569022,TCD
2022-11-14,5610484,5610484,5610484,TCD
2022-11-15,5607252,5607252,5607252,TCD
2022-11-16,5630349,5630349,5630349,TCD
2022-11-17,5676336,5676336,5676336,TCD
2022-11-18,5735473,5735473,5735473,TCD
2022-11-19,5789977,5789977,5789977,TCD
2022-11-20,5827060,5827060,5827060,TCD
2022-11-21,5887403,5887403,5887403,TCD
2022-11-22,5930278,5930278,5930278,TCD
2022-11-23,5978846,5978846,5978846,TCD
2022-11-24,6026428,6026428,6026428,TCD
2022-11-25,6099353,6099353,6099353,TCD
2022-11-26,6156634,6156634,6156634,TCD
2022-11-27,6217728,6217728,6217728,TCD
2022-11-28,6254495,6254495,6254495,TCD
2022-11-29,6311171,6311171,6311171,TCD
2022-11-30,6387451,6387451,6387451,TCD
2022-12-01,6429948,6429948,6429948,TCD
2022-12-02,6425393,6425393,6425393,TCD
2022-12-03,6429917,6429917,6429917,TCD
2022-12-04,6453429,6453429,6453429,TCD
2022-12-05,6459477,6459477,6459477,TCD
2022-12-06,6527588,6527588,6527588,TCD
2023-03-05,9191269,9191269,9191269,TCD
2023-03-06,9191895,9191895,9191895,TCD
2022-12-07,6555106,6555106,6555106,TCD
2022-12-08,6629634,6629634,6629634,TCD
2022-12-09,6684898,6684898,6684898,TCD
2022-12-10,6745764,6745764,6745764,TCD
2022-12-11,6820349,6820349,6820349,TCD
2022-12-12,6854190,6854190,6854190,TCD
2022-12-13,6901401,6901401,6901401,TCD
2022-12-14,6955500,6955500,6955500,TCD
2022-12-15,6995735,6995735,6995735,TCD
2022-12-16,7013637,7013637,7013637,TCD
2022-12-17,7081691,7081691,7081691,TCD
2022-12-18,7123197,7123197,7123197,TCD
2022-12-19,7214999,7214999,7214999,TCD
2022-12-20,7271233,7271233,7271233,TCD
2022-12-21,7318888,7318888,7318888,TCD
2022-12-22,7365081,7365081,7365081,TCD
2022-12-23,7425580,7425580,7425580,TCD
2022-12-24,7479115,7479115,7479115,TCD
2022-12-25,7557378,7557378,7557378,TCD
2022-12-26,7577138,7577138,7577138,TCD
2022-12-27,7618973,7618973,7618973,TCD
2022-12-28,7657124,7657124,7657124,TCD
2022-12-29,7690961,7690961,7690961,TCD
2022-12-30,7716590,7716590,7716590,TCD
2022-12-31,7773425,7773425,7773425,TCD
2023-01-01,7806924,7806924,7806924,TCD
2023-01-02,7844699,7844699,7844699,TCD
2023-01-03,7881539,7881539,7881539,TCD
2023-01-04,7912024,7912024,7912024,TCD
2023-01-05,7937636,7937636,7937636,TCD
2023-01-06,7990791,7990791,7990791,TCD
2023-01-07,8028510,8028510,8028510,TCD
2023-01-08,8016421,8016421,8016421,TCD
2023-01-09,8060877,8060877,8060877,TCD
2023-01-10,8067243,8067243,8067243,TCD
2023-01-11,8088059,8088059,8088059,TCD
2023-01-12,8122300,8122300,8122300,TCD
2023-01-13,8141279,8141279,8141279,TCD
2023-01-14,8212269,8212269,8212269,TCD
2023-01-15,8290095,8290095,8290095,TCD
2023-01-16,8343497,8343497,8343497,TCD
2023-01-17,8445710,8445710,8445710,TCD
2023-01-18,8479440,8479440,8479440,TCD
2023-01-19,8526720,8526720,8526720,TCD
2023-01-20,8567979,8567979,8567979,TCD
2023-01-21,8588425,8588425,8588425,TCD
