date,value,value_high,value_low,iso_code
2022-07-21,2061736,2354349,1787930,TGO
2022-07-22,2455984,2799705,2160729,TGO
2022-07-23,2455997,2808712,2159822,TGO
2022-07-24,2455997,2808712,2159822,TGO
2022-07-25,2455997,2808712,2159822,TGO
2022-07-26,2455997,2808712,2159822,TGO
2022-07-27,2455997,2808712,2159822,TGO
2022-07-28,2455997,2808712,2159822,TGO
2022-07-29,2455004,2812672,2159822,TGO
2022-07-30,2455004,2812672,2159822,TGO
2022-07-31,2474244,2824644,2166582,TGO
2022-08-01,2459417,2809684,2170182,TGO
2022-08-02,2459417,2809684,2170182,TGO
2022-08-03,2459417,2809277,2170182,TGO
2022-08-04,2456698,2809277,2170182,TGO
2022-08-05,2459417,2809684,2170182,TGO
2022-08-06,2456698,2809277,2170182,TGO
2022-08-07,2459355,2809277,2170182,TGO
2022-08-08,2459355,2809277,2170182,TGO
2022-08-09,2459355,2809277,2170182,TGO
2022-08-10,2459355,2808037,2170182,TGO
2022-08-11,2473266,2819316,2171021,TGO
2022-08-12,2473266,2819316,2171021,TGO
2022-08-13,2473266,2819316,2171021,TGO
2022-08-14,2471768,2820085,2171021,TGO
2022-08-15,2469034,2798957,2168348,TGO
2022-08-16,2465084,2789414,2166369,TGO
2022-08-17,2463906,2789414,2166369,TGO
2022-08-18,2463906,2789414,2166369,TGO
2022-08-19,2465084,2789414,2166369,TGO
2022-08-20,2463906,2789414,2166369,TGO
2022-08-21,2473288,2787488,2168328,TGO
2022-08-22,2473288,2787488,2168328,TGO
2022-08-23,2473288,2787488,2168328,TGO
2022-08-24,2473417,2787488,2168328,TGO
2022-08-25,2476834,2806879,2170307,TGO
2022-08-26,2476937,2811474,2172418,TGO
2022-08-27,2476834,2806879,2170307,TGO
2022-08-28,2476937,2807079,2172418,TGO
2022-08-29,2479651,2817493,2174050,TGO
2022-08-30,2479651,2817493,2174050,TGO
2022-08-31,2461736,2805566,2158475,TGO
2022-09-01,2465880,2796750,2162762,TGO
2022-09-02,2465880,2796750,2162762,TGO
2022-09-03,2465880,2796750,2162762,TGO
2022-09-04,2465880,2796750,2162762,TGO
2022-09-05,2465408,2799200,2162762,TGO
2022-09-06,2465408,2799200,2162762,TGO
2022-09-07,2464047,2798434,2162762,TGO
2022-09-08,2465561,2801422,2162762,TGO
2022-09-09,2465561,2801422,2162762,TGO
2022-09-10,2465052,2801422,2162762,TGO
2022-09-11,2479806,2807895,2165360,TGO
2022-09-12,2479806,2807895,2165360,TGO
2022-09-13,2479806,2807895,2165360,TGO
2022-09-14,2479806,2807895,2165360,TGO
2022-09-15,2479806,2807895,2165360,TGO
2022-09-16,2479806,2807895,2165360,TGO
2022-09-17,2479806,2807895,2165360,TGO
2022-09-18,2479806,2807895,2165360,TGO
2022-09-19,2479806,2807895,2165360,TGO
2022-09-20,2479806,2807895,2165360,TGO
2022-09-21,2488350,2824785,2180663,TGO
2022-09-22,2491059,2836355,2180663,TGO
2022-09-23,2491419,2836355,2180663,TGO
2022-09-24,2491419,2836355,2180663,TGO
2022-09-25,2491419,2836355,2180663,TGO
2022-09-26,2491419,2836355,2180663,TGO
2022-09-27,2491419,2836355,2180663,TGO
2022-09-28,2491419,2836355,2180663,TGO
2022-09-29,2491165,2836355,2180663,TGO
2022-09-30,2491165,2836355,2180663,TGO
2022-10-01,2524571,2892082,2214033,TGO
2022-10-02,2514899,2870349,2209602,TGO
2022-10-03,2524571,2892082,2214033,TGO
2022-10-04,2524571,2892082,2214033,TGO
2022-10-05,2524131,2884871,2214033,TGO
2022-10-06,2517634,2864535,2203466,TGO
2022-10-07,2517634,2864535,2203466,TGO
2022-10-08,2517634,2863896,2203466,TGO
2022-10-09,2517634,2863896,2203466,TGO
2022-10-10,2515148,2841250,2199883,TGO
2022-10-11,2544097,2883605,2223412,TGO
2022-10-12,2544449,2884851,2223412,TGO
2022-10-13,2544449,2884851,2223412,TGO
2022-10-14,2544449,2884851,2223412,TGO
2022-10-15,2532355,2867219,2208492,TGO
2022-10-16,2532241,2868027,2207051,TGO
2022-10-17,2532241,2868027,2207051,TGO
2022-10-18,2532916,2868027,2207770,TGO
2022-10-19,2532916,2868027,2207770,TGO
2022-10-20,2533623,2868027,2207770,TGO
2022-10-21,2545910,2874915,2224883,TGO
