date,value,value_high,value_low,iso_code
2022-07-29,1336521,1658612,1113461,TUN
2022-07-30,1336521,1658612,1113461,TUN
2022-07-31,1333729,1657126,1110078,TUN
2022-08-01,1335602,1658412,1110004,TUN
2022-08-02,1335602,1658412,1110004,TUN
2022-08-03,1335602,1658412,1110004,TUN
2022-08-04,1335602,1658412,1110004,TUN
2022-08-05,1335602,1658412,1110004,TUN
2022-08-06,1335602,1658412,1109594,TUN
2022-08-07,1337655,1658412,1110322,TUN
2022-08-08,1335771,1658288,1110923,TUN
2022-08-09,1335771,1657322,1110531,TUN
2022-08-10,1335771,1657322,1110531,TUN
2022-08-11,1338162,1658873,1111923,TUN
2022-08-12,1338162,1658873,1111923,TUN
2022-08-13,1337878,1649032,1111923,TUN
2022-08-14,1337878,1649032,1111923,TUN
2022-08-15,1334831,1649032,1111923,TUN
2022-08-16,1334831,1649032,1111923,TUN
2022-08-17,1334831,1649032,1111923,TUN
2022-08-18,1334831,1649032,1111923,TUN
2022-08-19,1334831,1649032,1111923,TUN
2022-08-20,1334831,1649032,1111923,TUN
2022-08-21,1335794,1649700,1114483,TUN
2022-08-22,1335794,1649700,1114483,TUN
2022-08-23,1335794,1649700,1114483,TUN
2022-08-24,1335794,1649700,1114483,TUN
2022-08-25,1335794,1649700,1114483,TUN
2022-08-26,1335794,1649700,1114483,TUN
2022-08-27,1335794,1649700,1114483,TUN
2022-08-28,1335794,1649700,1114483,TUN
2022-08-29,1335794,1649700,1114483,TUN
2022-08-30,1335794,1649700,1114483,TUN
2022-08-31,1333222,1649700,1113864,TUN
2022-09-01,1336796,1650396,1114860,TUN
2022-09-02,1336796,1650476,1114860,TUN
2022-09-03,1336796,1650476,1114860,TUN
2022-09-04,1336796,1650476,1114860,TUN
2022-09-05,1337248,1660368,1114860,TUN
2022-09-06,1337248,1660368,1114860,TUN
2022-09-07,1337248,1660368,1114860,TUN
2022-09-08,1337248,1660368,1114860,TUN
2022-09-09,1337248,1660368,1114860,TUN
2022-09-10,1337248,1660368,1114860,TUN
2022-09-11,1337200,1662890,1114822,TUN
2022-09-12,1337200,1662890,1114822,TUN
2022-09-13,1337200,1662890,1114822,TUN
2022-09-14,1337200,1662890,1114822,TUN
2022-09-15,1337200,1662890,1114822,TUN
2022-09-16,1337200,1662890,1114822,TUN
2022-09-17,1337200,1662890,1114822,TUN
2022-09-18,1337200,1662890,1114822,TUN
2022-09-19,1336831,1652490,1114822,TUN
2022-09-20,1337200,1662890,1114822,TUN
2022-09-21,1337945,1655114,1116326,TUN
2022-09-22,1338744,1665157,1116326,TUN
2022-09-23,1338744,1665157,1116326,TUN
2022-09-24,1338744,1665157,1116326,TUN
2022-09-25,1338744,1665157,1116326,TUN
2022-09-26,1338744,1665157,1116326,TUN
2022-09-27,1338744,1665157,1116326,TUN
2022-09-28,1338744,1665157,1116326,TUN
2022-09-29,1338744,1665569,1116874,TUN
2022-09-30,1338744,1665827,1116874,TUN
2022-10-01,1338666,1668167,1115404,TUN
2022-10-02,1338666,1667497,1115404,TUN
2022-10-03,1338666,1667497,1115404,TUN
2022-10-04,1338666,1667497,1115404,TUN
2022-10-05,1338666,1667497,1115404,TUN
2022-10-06,1337646,1664072,1115429,TUN
2022-10-07,1338174,1687835,1114017,TUN
2022-10-08,1338174,1687835,1114017,TUN
2022-10-09,1338174,1687835,1113778,TUN
2022-10-10,1337837,1672311,1113778,TUN
2022-10-11,1337048,1674848,1114127,TUN
2022-10-12,1334733,1674848,1114127,TUN
2022-10-13,1334733,1674848,1114127,TUN
2022-10-14,1337048,1674848,1114127,TUN
2022-10-15,1335735,1675723,1117138,TUN
2022-10-16,1335735,1675723,1117138,TUN
2022-10-17,1335735,1675723,1117138,TUN
2022-10-18,1335735,1675723,1117138,TUN
2022-10-19,1334478,1675723,1105912,TUN
2022-10-20,1334478,1675723,1105912,TUN
2022-10-21,1336302,1676480,1116789,TUN
2022-10-22,1336302,1676480,1116789,TUN
2022-10-23,1335345,1676480,1105585,TUN
2022-10-24,1335345,1676480,1105585,TUN
2022-10-25,1335345,1676480,1105585,TUN
2022-10-26,1335345,1676480,1105585,TUN
2022-10-27,1335345,1676480,1105585,TUN
2022-10-28,1337013,1676482,1105261,TUN
2022-10-29,1337013,1676482,1105261,TUN
