date,value,value_high,value_low,iso_code
2022-11-07,8311206,8311206,8311206,UKR
2022-11-08,9013867,9013867,9013867,UKR
2022-11-09,8924179,8924179,8924179,UKR
2022-11-10,9016130,9016130,9016130,UKR
2022-11-11,8974648,8974648,8974648,UKR
2022-11-12,8775877,8775877,8775877,UKR
2022-11-13,8632979,8632979,8632979,UKR
2022-11-14,8850323,8850323,8850323,UKR
2022-11-15,9052171,9052171,9052171,UKR
2022-11-16,9168612,9168612,9168612,UKR
2022-11-17,9027966,9027966,9027966,UKR
2022-11-18,9349416,9349416,9349416,UKR
2022-11-19,9356309,9356309,9356309,UKR
2022-11-20,9241104,9241104,9241104,UKR
2022-11-21,9305125,9305125,9305125,UKR
2022-11-22,9113233,9113233,9113233,UKR
2022-11-23,9161726,9161726,9161726,UKR
2022-11-24,8646507,8646507,8646507,UKR
2022-11-25,8515611,8515611,8515611,UKR
2022-11-26,8806391,8806391,8806391,UKR
2022-11-27,8690652,8690652,8690652,UKR
2022-11-28,8727547,8727547,8727547,UKR
2022-11-29,8900765,8900765,8900765,UKR
2022-11-30,8970327,8970327,8970327,UKR
2022-12-01,8876160,8876160,8876160,UKR
2022-12-02,9142420,9142420,9142420,UKR
2022-12-03,9198497,9198497,9198497,UKR
2022-12-04,9267603,9267603,9267603,UKR
2022-12-05,9402713,9402713,9402713,UKR
2022-12-06,9531434,9531434,9531434,UKR
2022-12-07,9407160,9407160,9407160,UKR
2022-12-08,9061865,9061865,9061865,UKR
2022-12-09,9404500,9404500,9404500,UKR
2022-12-10,9701115,9701115,9701115,UKR
2022-12-11,9869295,9869295,9869295,UKR
2022-12-12,10151781,10151781,10151781,UKR
2022-12-13,10366687,10366687,10366687,UKR
2022-12-14,10188637,10188637,10188637,UKR
2022-12-15,10344571,10344571,10344571,UKR
2022-12-16,10260259,10260259,10260259,UKR
2022-12-17,10325236,10325236,10325236,UKR
2022-12-18,10296935,10296935,10296935,UKR
2022-12-19,10241677,10241677,10241677,UKR
2022-12-20,10169843,10169843,10169843,UKR
2022-12-21,10289929,10289929,10289929,UKR
2022-12-22,10382199,10382199,10382199,UKR
2022-12-23,10242186,10242186,10242186,UKR
2022-12-24,10408199,10408199,10408199,UKR
2022-12-25,10743136,10743136,10743136,UKR
2022-12-26,10301231,10301231,10301231,UKR
2022-12-27,10491541,10491541,10491541,UKR
2022-12-28,10734451,10734451,10734451,UKR
2022-12-29,10506073,10506073,10506073,UKR
2022-12-30,10479736,10479736,10479736,UKR
2022-12-31,10680451,10680451,10680451,UKR
2023-01-01,10662276,10662276,10662276,UKR
2023-01-02,10700732,10700732,10700732,UKR
2023-01-03,10949322,10949322,10949322,UKR
2023-01-04,10959512,10959512,10959512,UKR
2023-01-05,11052357,11052357,11052357,UKR
2023-01-06,11328704,11328704,11328704,UKR
2023-01-07,11365379,11365379,11365379,UKR
2023-01-08,10996672,10996672,10996672,UKR
2023-01-09,10669198,10669198,10669198,UKR
2023-01-10,10501678,10501678,10501678,UKR
2023-01-11,10426062,10426062,10426062,UKR
2023-01-12,10514791,10514791,10514791,UKR
2023-01-13,10619504,10619504,10619504,UKR
2023-01-14,10706767,10706767,10706767,UKR
2023-01-15,10584038,10584038,10584038,UKR
2023-01-16,10566984,10566984,10566984,UKR
2023-01-17,10904554,10904554,10904554,UKR
2023-01-18,11097031,11097031,11097031,UKR
2023-01-19,11520085,11520085,11520085,UKR
2023-01-20,11509810,11509810,11509810,UKR
2023-01-21,11492968,11492968,11492968,UKR
2023-01-22,11636513,11636513,11636513,UKR
2023-01-23,11728392,11728392,11728392,UKR
2023-01-24,11424063,11424063,11424063,UKR
2023-01-25,11500231,11500231,11500231,UKR
2023-01-26,11642943,11642943,11642943,UKR
2023-01-27,11843154,11843154,11843154,UKR
2023-01-28,11914812,11914812,11914812,UKR
2023-01-29,11889256,11889256,11889256,UKR
2023-01-30,11952639,11952639,11952639,UKR
2023-01-31,11725557,11725557,11725557,UKR
2023-02-01,11971959,11971959,11971959,UKR
2023-02-02,12305157,12305157,12305157,UKR
2023-02-03,12592535,12592535,12592535,UKR
2023-02-04,12520974,12520974,12520974,UKR
2023-02-05,12233857,12233857,12233857,UKR
2023-02-06,12328176,12328176,12328176,UKR
2023-02-07,12804775,12804775,12804775,UKR
2023-02-08,12426756,12426756,12426756,UKR
2023-02-09,12669713,12669713,12669713,UKR
2023-02-10,12795895,12795895,12795895,UKR
2023-02-11,12613207,12613207,12613207,UKR
2023-02-12,12591717,12591717,12591717,UKR
2023-02-13,12474208,12474208,12474208,UKR
2023-02-14,12562739,12562739,12562739,UKR
2023-02-15,12519987,12519987,12519987,UKR
2023-02-16,12470521,12470521,12470521,UKR
2023-02-17,12522254,12522254,12522254,UKR
2023-02-18,12376789,12376789,12376789,UKR
2023-02-19,12415969,12415969,12415969,UKR
2023-02-20,12557248,12557248,12557248,UKR
2023-02-21,12761071,12761071,12761071,UKR
2023-02-22,12828549,12828549,12828549,UKR
2023-02-23,13208460,13208460,13208460,UKR
2023-02-24,13276220,13276220,13276220,UKR
2023-02-25,13202391,13202391,13202391,UKR
2023-02-26,13171851,13171851,13171851,UKR
2023-02-27,13172102,13172102,13172102,UKR
2023-02-28,13343780,13343780,13343780,UKR
2023-03-01,13349579,13349579,13349579,UKR
2023-03-02,13350035,13350035,13350035,UKR
2023-03-03,13111059,13111059,13111059,UKR
2023-03-04,12717848,12717848,12717848,UKR
2023-03-07,10515644,10873117,10213581,UKR
2023-03-08,10465064,10821580,10164765,UKR
2023-03-09,10299082,10658075,9990223,UKR
2023-03-10,10486281,10841849,10176243,UKR
2023-03-11,10244527,10593650,9931022,UKR
2023-03-12,10221522,10567728,9908936,UKR
2023-03-13,10253805,10598768,9941017,UKR
2023-03-14,10180359,10529429,9867257,UKR
2023-03-15,10240909,10583293,9926389,UKR
2023-03-16,10164337,10504682,9846831,UKR
2023-03-17,10243189,10587071,9929297,UKR
2023-03-18,10426243,10770936,10113185,UKR
2023-03-19,10416687,10760945,10102607,UKR
2023-06-16,8917858,9404106,8501688,UKR
2023-06-17,8879028,9365276,8462858,UKR
2023-03-20,10334487,10676544,10020036,UKR
2023-03-21,10152602,10494330,9842541,UKR
2023-03-22,10077518,10421922,9762199,UKR
2023-03-23,9964094,10309361,9649251,UKR
2023-06-20,8759500,9245748,8343330,UKR
2023-06-21,8687920,9173659,8278051,UKR
2023-06-22,8693890,9179629,8284021,UKR
2023-06-23,8628922,9114661,8219053,UKR
2023-03-24,9807339,10152606,9492496,UKR
2023-03-25,9628245,9974367,9312748,UKR
2023-03-26,9437579,9783745,9121320,UKR
2023-03-27,9367270,9713681,9050762,UKR
2023-03-28,9253887,9600298,8937379,UKR
2023-03-29,8988398,9334809,8671890,UKR
2023-03-30,8893798,9240209,8577290,UKR
2023-03-31,9070267,9431036,8751311,UKR
2023-04-01,9903601,10263613,9586447,UKR
2023-04-02,9993139,10353017,9676051,UKR
2023-04-03,8462420,8822334,8145836,UKR
2023-04-04,8440466,8800478,8121363,UKR
2023-04-05,8446726,8807900,8127808,UKR
2023-04-06,8341287,8700736,8024204,UKR
2023-04-07,8413295,8772744,8096212,UKR
2023-04-08,8411848,8773463,8097457,UKR
2023-04-09,8357845,8713353,8049067,UKR
2023-04-10,8475561,8834838,8169961,UKR
2023-04-11,8459958,8822084,8153487,UKR
2023-04-12,8550777,8912903,8244306,UKR
2023-04-13,8543241,8905367,8236770,UKR
2023-04-14,8513242,8875880,8209139,UKR
2023-04-15,8541081,8903719,8236978,UKR
2023-04-16,8532288,8894926,8228185,UKR
2023-04-17,8495175,8856371,8191072,UKR
2023-04-18,8417610,8778806,8113507,UKR
2023-04-19,8449098,8810294,8144995,UKR
2023-04-20,8486768,8847964,8182665,UKR
2023-04-21,8382978,8741329,8078868,UKR
2023-04-22,8487402,8845603,8179771,UKR
2023-04-23,8487246,8845447,8179615,UKR
2023-04-24,8516976,8875177,8209345,UKR
