date,value,value_high,value_low,iso_code
2022-08-24,11260511,13269632,9361893,VNM
2022-08-25,11260511,13269632,9361893,VNM
2022-08-26,11260511,13269632,9361893,VNM
2022-08-27,11260511,13269632,9361893,VNM
2022-08-28,11260511,13269632,9361893,VNM
2022-08-29,11260511,13269632,9361893,VNM
2022-08-30,11260511,13263837,9361893,VNM
2022-08-31,11316817,13355923,9455165,VNM
2022-09-01,11350047,13381450,9497934,VNM
2022-09-02,11350047,13387307,9497934,VNM
2022-09-03,11350047,13381450,9497934,VNM
2022-09-04,11350047,13381450,9497934,VNM
2022-09-05,11350047,13381450,9497934,VNM
2022-09-06,11350047,13381450,9497934,VNM
2022-09-07,11350047,13381450,9497934,VNM
2022-09-08,11350047,13381450,9497934,VNM
2022-09-09,11350047,13387307,9497934,VNM
2022-09-10,11350047,13387307,9497934,VNM
2022-09-11,11361753,13376318,9502570,VNM
2022-09-12,11361753,13376318,9502570,VNM
2022-09-13,11361753,13376318,9502570,VNM
2022-09-14,11361753,13376318,9502570,VNM
2022-09-15,11361753,13376318,9502570,VNM
2022-09-16,11361753,13381610,9502570,VNM
2022-09-17,11361753,13381610,9502570,VNM
2022-09-18,11361753,13376318,9502570,VNM
2022-09-19,11361753,13376318,9502570,VNM
2022-09-20,11361753,13381610,9502570,VNM
2022-09-21,11361726,13378684,9508138,VNM
2022-09-22,11361726,13378684,9508138,VNM
2022-09-23,11361726,13378684,9508138,VNM
2022-09-24,11361726,13378684,9508138,VNM
2022-09-25,11361726,13378684,9508138,VNM
2022-09-26,11361726,13378684,9508138,VNM
2022-09-27,11361726,13378684,9508138,VNM
2022-09-28,11361726,13378684,9508138,VNM
2022-09-29,11361726,13378684,9508138,VNM
2022-09-30,11392758,13394624,9545317,VNM
2022-10-01,11184972,12852965,9486445,VNM
2022-10-02,11184972,12852965,9486445,VNM
2022-10-03,11184972,12852965,9486445,VNM
2022-10-04,11184972,12852965,9486445,VNM
2022-10-05,11184972,12852965,9486445,VNM
2022-10-06,11180370,12846815,9486433,VNM
2022-10-07,11180370,12846815,9486433,VNM
2022-10-08,11180667,12846815,9486433,VNM
2022-10-09,11180370,12846815,9486433,VNM
2022-10-10,11180370,12846815,9486433,VNM
2022-10-11,11180067,12845989,9486452,VNM
2022-10-12,11180067,12845989,9486452,VNM
2022-10-13,11180067,12845989,9486452,VNM
2022-10-14,11180285,12845989,9486452,VNM
2022-10-15,11183451,12834925,9483821,VNM
2022-10-16,11183451,12834925,9483821,VNM
2022-10-17,11183233,12834925,9483821,VNM
2022-10-18,11183451,12834925,9483821,VNM
2022-10-19,11185070,12834925,9483821,VNM
2022-10-20,11185070,12834925,9483821,VNM
2022-10-21,11266194,13027317,9522103,VNM
2022-10-22,11266194,13027317,9492310,VNM
2022-10-23,11266194,13027317,9492310,VNM
2022-10-24,11266194,13027317,9520228,VNM
2022-10-25,11266194,13027317,9492310,VNM
2022-10-26,11266194,13027317,9492310,VNM
2022-10-27,11563037,13439939,9557009,VNM
2022-10-28,11643685,13598970,9631650,VNM
2022-10-29,11636232,13598970,9631650,VNM
2022-10-30,11636232,13598970,9631650,VNM
2022-10-31,11408805,13550462,9395777,VNM
2022-11-01,11388400,13489835,9512544,VNM
2022-11-02,11324064,13494836,9494831,VNM
2022-11-03,11326810,13472781,9494831,VNM
2022-11-04,11303297,13472367,9485406,VNM
2022-11-05,11303297,13472367,9485406,VNM
2022-11-06,11303297,13472367,9485406,VNM
2022-11-07,11302163,13472367,9485406,VNM
2022-11-08,11302163,13472367,9485406,VNM
2022-11-09,11291616,13442374,9485406,VNM
2022-11-10,11289463,13448438,9460226,VNM
2022-11-11,11283934,13436849,9457154,VNM
2022-11-12,11283671,13436849,9456918,VNM
2022-11-13,11283671,13436849,9456918,VNM
2022-11-14,11285462,13436849,9446690,VNM
2022-11-15,11288301,13436849,9446690,VNM
2022-11-16,11302241,13463451,9443839,VNM
2022-11-17,11325358,13473637,9528118,VNM
2022-11-18,11325610,13473637,9528118,VNM
2022-11-19,11325522,13475277,9528118,VNM
2022-11-20,11325522,13475277,9528118,VNM
2022-11-21,11318898,13466884,9528114,VNM
2022-11-22,11333515,13518917,9528114,VNM
2022-11-23,11341804,13518917,9528114,VNM
2022-11-24,11374777,13544867,9549991,VNM
