date,value,value_high,value_low,iso_code
2022-08-01,5285516,5285516,5285516,ZWE
2022-08-02,5268576,5268576,5268576,ZWE
2022-08-03,5317966,5317966,5317966,ZWE
2022-08-04,5312493,5312493,5312493,ZWE
2022-08-05,5250208,5250208,5250208,ZWE
2022-08-06,5206666,5206666,5206666,ZWE
2022-08-07,5265742,5265742,5265742,ZWE
2022-08-08,5355999,5355999,5355999,ZWE
2022-08-09,5375946,5375946,5375946,ZWE
2022-08-10,5414981,5414981,5414981,ZWE
2022-08-11,5388585,5388585,5388585,ZWE
2022-08-12,5478003,5478003,5478003,ZWE
2022-08-13,5558754,5558754,5558754,ZWE
2022-08-14,5607789,5607789,5607789,ZWE
2022-08-15,5578467,5578467,5578467,ZWE
2022-08-16,5568515,5568515,5568515,ZWE
2022-08-17,5602351,5602351,5602351,ZWE
2022-08-18,5597299,5597299,5597299,ZWE
2022-08-19,5607535,5607535,5607535,ZWE
2022-08-20,5597719,5597719,5597719,ZWE
2022-08-21,5592984,5592984,5592984,ZWE
2022-08-22,5512557,5512557,5512557,ZWE
2022-08-23,5462439,5462439,5462439,ZWE
2022-08-24,5460832,5460832,5460832,ZWE
2022-08-25,5507624,5507624,5507624,ZWE
2022-08-26,5464443,5464443,5464443,ZWE
2022-08-27,5486793,5486793,5486793,ZWE
2022-08-28,5538507,5538507,5538507,ZWE
2022-08-29,5572944,5572944,5572944,ZWE
2022-08-30,5613717,5613717,5613717,ZWE
2022-08-31,5590315,5590315,5590315,ZWE
2022-09-01,5607137,5607137,5607137,ZWE
2022-09-02,5522207,5522207,5522207,ZWE
2022-09-03,5503635,5503635,5503635,ZWE
2022-09-04,5532035,5532035,5532035,ZWE
2022-09-05,5523164,5523164,5523164,ZWE
2022-09-06,5497702,5497702,5497702,ZWE
2022-09-07,5517716,5517716,5517716,ZWE
2022-09-08,5501312,5501312,5501312,ZWE
2022-09-09,5501918,5501918,5501918,ZWE
2022-09-10,5486187,5486187,5486187,ZWE
2022-09-11,5470762,5470762,5470762,ZWE
2022-09-12,5475033,5475033,5475033,ZWE
2022-09-13,5581097,5581097,5581097,ZWE
2022-09-14,5557128,5557128,5557128,ZWE
2022-09-15,5598132,5598132,5598132,ZWE
2022-09-16,5563067,5563067,5563067,ZWE
2022-09-17,5586005,5586005,5586005,ZWE
2022-09-18,5566786,5566786,5566786,ZWE
2022-09-19,5632483,5632483,5632483,ZWE
2022-09-20,5656147,5656147,5656147,ZWE
2022-09-21,5621463,5621463,5621463,ZWE
2022-09-22,5672671,5672671,5672671,ZWE
2022-09-23,5607195,5607195,5607195,ZWE
2022-09-24,5621541,5621541,5621541,ZWE
2022-09-25,5610611,5610611,5610611,ZWE
2022-09-26,5626525,5626525,5626525,ZWE
2022-09-27,5626390,5626390,5626390,ZWE
2022-09-28,5501423,5501423,5501423,ZWE
2022-09-29,5388423,5388423,5388423,ZWE
2022-09-30,5315719,5315719,5315719,ZWE
2022-10-01,5299946,5299946,5299946,ZWE
2022-10-02,5316365,5316365,5316365,ZWE
2022-10-03,5229598,5229598,5229598,ZWE
2022-10-04,5317483,5317483,5317483,ZWE
2022-10-05,5367388,5367388,5367388,ZWE
2022-10-06,5442080,5442080,5442080,ZWE
2022-10-07,5345765,5345765,5345765,ZWE
2022-10-08,5314459,5314459,5314459,ZWE
2022-10-09,5194937,5194937,5194937,ZWE
2022-10-10,5309682,5309682,5309682,ZWE
2022-10-11,5401830,5401830,5401830,ZWE
2022-10-12,5407604,5407604,5407604,ZWE
2022-10-13,5331871,5331871,5331871,ZWE
2022-10-14,5333429,5333429,5333429,ZWE
2022-10-15,5323840,5323840,5323840,ZWE
2022-10-16,5311914,5311914,5311914,ZWE
2022-10-17,5295367,5295367,5295367,ZWE
2022-10-18,5241206,5241206,5241206,ZWE
2022-10-19,5324458,5324458,5324458,ZWE
2022-10-20,5350975,5350975,5350975,ZWE
2022-10-21,5447385,5447385,5447385,ZWE
2022-10-22,5461093,5461093,5461093,ZWE
2022-10-23,5502081,5502081,5502081,ZWE
2022-10-24,5567972,5567972,5567972,ZWE
2022-10-25,5613911,5613911,5613911,ZWE
2022-10-26,5635614,5635614,5635614,ZWE
2022-10-27,5603183,5603183,5603183,ZWE
2022-10-28,5799364,5799364,5799364,ZWE
2022-10-29,5755640,5755640,5755640,ZWE
2022-10-30,5741149,5741149,5741149,ZWE
2022-10-31,5866492,5866492,5866492,ZWE
2022-11-01,5919980,5919980,5919980,ZWE
