country,All ages estimate,All ages lower estimate,All ages upper estimate,year
AFG,527.0,177.0,2039.0,2021
AGO,14708.0,10595.0,19412.0,2021
ALB,24.0,16.0,33.0,2021
ARE,,,,2021
ARG,1316.0,1017.0,1603.0,2021
ARM,,,,2021
AUS,50.0,33.0,70.0,2021
AUT,,,,2021
AZE,159.0,101.0,228.0,2021
BDI,1356.0,1037.0,1805.0,2021
BEL,,,,2021
BEN,1625.0,1085.0,2253.0,2021
BFA,2046.0,1600.0,2589.0,2021
BGD,473.0,415.0,544.0,2021
BGR,58.0,41.0,77.0,2021
BHR,6.0,4.0,8.0,2021
BHS,93.0,66.0,128.0,2021
BIH,,,,2021
BLR,182.0,130.0,265.0,2021
BLZ,122.0,104.0,139.0,2021
BOL,441.0,299.0,642.0,2021
BRA,13149.0,5106.0,21378.0,2021
BRB,53.0,41.0,65.0,2021
BRN,,,,2021
BTN,50.0,3.0,160.0,2021
BWA,4609.0,3847.0,5415.0,2021
CAF,2570.0,1949.0,3707.0,2021
CAN,,,,2021
CHE,131.0,98.0,177.0,2021
CHL,,,,2021
CHN,,,,2021
CIV,8837.0,6834.0,11787.0,2021
CMR,12534.0,10881.0,14342.0,2021
COD,13509.0,10061.0,18240.0,2021
COG,7377.0,5292.0,10601.0,2021
COL,1681.0,1120.0,2571.0,2021
COM,4.0,0.92054,14.0,2021
CPV,34.0,25.0,47.0,2021
CRI,192.0,135.0,266.0,2021
CUB,230.0,153.0,310.0,2021
CYP,7.0,6.0,9.0,2021
CZE,,,,2021
DEU,369.0,276.0,474.0,2021
DJI,385.0,210.0,591.0,2021
DNK,42.0,31.0,53.0,2021
DOM,2265.0,1548.0,3134.0,2021
DZA,279.0,222.0,349.0,2021
ECU,427.0,322.0,554.0,2021
EGY,557.0,474.0,658.0,2021
ERI,270.0,129.0,574.0,2021
ESP,839.0,659.0,1016.0,2021
EST,,,,2021
ETH,11629.0,9593.34766,14524.49816,2021
FIN,,,,2021
FJI,30.0,16.0,71.0,2021
FRA,721.0,577.0,912.0,2021
GAB,2037.0,1394.0,2900.0,2021
GBR,,,,2021
GEO,69.0,54.0,89.0,2021
GHA,9859.0,8752.0,11602.0,2021
GIN,3858.0,3031.0,5044.0,2021
GMB,1264.0,868.0,1785.0,2021
GNB,1689.0,1361.0,2089.0,2021
GNQ,2347.0,2098.0,2692.0,2021
GRC,40.0,30.0,57.0,2021
GTM,726.0,569.0,904.0,2021
GUY,158.0,115.0,198.0,2021
HND,769.0,623.0,965.0,2021
HRV,10.0,7.0,14.0,2021
HTI,1520.0,1130.0,1972.0,2021
HUN,,,,2021
IDN,25751.0,23544.0,28659.0,2021
IND,41966.0,26498.82949,67451.27376,2021
IRL,43.0,31.0,55.0,2021
IRN,3517.0,2186.0,8769.0,2021
IRQ,,,,2021
ISL,1.52159,1.18486,2.00025,2021
ISR,,,,2021
ITA,414.0,261.0,543.0,2021
JAM,774.0,672.0,969.0,2021
JOR,,,,2021
JPN,,,,2021
KAZ,152.0,121.0,189.0,2021
KEN,22373.0,15589.95803,34658.40211,2021
KGZ,208.0,175.0,256.0,2021
KHM,1135.0,798.0,1493.0,2021
KOR,,,,2021
KWT,,,,2021
LAO,325.0,237.0,433.0,2021
LBN,49.0,37.0,61.0,2021
LBR,1114.0,824.0,1585.0,2021
LBY,132.0,86.0,185.0,2021
LKA,73.0,55.0,94.0,2021
LSO,4521.0,3759.0,5606.0,2021
LTU,38.0,27.0,52.0,2021
LUX,8.0,6.0,11.0,2021
LVA,77.0,44.0,126.0,2021
MAR,387.0,288.0,517.0,2021
MDA,482.0,342.91583,683.41505,2021
MDG,2876.0,2254.0,3697.0,2021
MDV,,,,2021
MEX,4643.0,3642.0,5664.0,2021
MKD,,,,2021
MLI,4135.0,2996.0,5956.0,2021
MLT,,,,2021
MMR,6640.0,4773.0,9104.0,2021
MNE,2.0,1.0,4.0,2021
MNG,23.0,18.0,28.0,2021
MOZ,,,,2021
MRT,501.0,378.0,646.0,2021
MUS,,,,2021
MWI,12531.0,10679.0,16744.0,2021
MYS,1592.0,1172.0,2055.0,2021
NAM,2948.0,2456.0,3529.0,2021
NER,910.0,784.0,1065.0,2021
NGA,50810.0,44403.0,59564.0,2021
NIC,223.0,135.0,354.0,2021
NLD,99.0,74.0,133.0,2021
NOR,23.0,17.0,30.0,2021
NPL,508.0,375.0,657.0,2021
NZL,13.0,8.0,19.0,2021
OMN,45.0,34.0,56.0,2021
PAK,9640.0,8897.0,10361.0,2021
PAN,,,,2021
PER,940.0,605.0,1461.0,2021
PHL,1217.0,836.0,1626.0,2021
PNG,525.0,420.0,642.0,2021
POL,,,,2021
PRK,,,,2021
PRT,296.0,228.0,353.0,2021
PRY,263.0,198.0,343.0,2021
QAT,6.0,3.0,8.0,2021
ROU,284.0,209.0,389.0,2021
RUS,,,,2021
RWA,2442.0,2100.0,2797.0,2021
SAU,,,,2021
SDN,1913.0,1456.0,2629.0,2021
SEN,1024.0,835.0,1246.0,2021
SGP,44.0,18.0,81.0,2021
SLE,3036.0,2698.0,3266.0,2021
SLV,600.0,519.0,681.0,2021
SOM,360.0,296.0,444.0,2021
SRB,20.0,14.0,29.0,2021
SSD,8010.0,7184.0,9748.0,2021
STP,17.0,12.0,24.0,2021
SUR,115.0,76.0,162.0,2021
SVK,5.0,3.0,7.0,2021
SVN,,,,2021
SWE,,,,2021
SWZ,2570.0,2145.0,3016.0,2021
SYR,21.0,15.0,64.0,2021
TCD,2694.0,1826.0,3868.0,2021
TGO,2556.0,2218.0,2923.0,2021
THA,9322.0,7482.0,11903.0,2021
TJK,157.0,128.0,190.0,2021
TKM,,,,2021
TLS,24.0,13.0,37.0,2021
TTO,245.0,189.0,325.0,2021
TUN,209.0,106.0,366.0,2021
TUR,,,,2021
TZA,28797.0,25843.0,34092.0,2021
UGA,17387.0,14849.0,23577.0,2021
UKR,2804.0,2075.0,3672.0,2021
URY,219.0,130.0,348.0,2021
USA,7854.0,5860.0,9924.0,2021
UZB,681.0,556.0,818.0,2021
VEN,2281.0,1938.0,2666.0,2021
VNM,3471.0,2608.0,4625.0,2021
YEM,401.0,363.0,441.0,2021
ZAF,51266.0,43786.0,62583.0,2021
ZMB,19327.0,16571.0,23073.0,2021
ZWE,20167.0,16550.26961,24376.76483,2021
