All ages estimate,All ages lower estimate,All ages upper estimate,country,year
16.942233,13.882582,20.376531,UNAAP,2010
20.740046,16.994527,24.944171,UNAAP,2011
24.724344,20.259291,29.736115,UNAAP,2012
29.582917,24.240427,35.579534,UNAAP,2013
33.521765,27.467958,40.316829,UNAAP,2014
38.357687,31.430538,46.133012,UNAAP,2015
43.958972,36.020269,52.869713,UNAAP,2016
48.66669,39.877822,58.531738,UNAAP,2017
54.778015,44.885469,65.881846,UNAAP,2018
61.124605,50.085878,73.514885,UNAAP,2019
63.613133,52.125018,76.507888,UNAAP,2020
65.94738,54.037694,79.31527,UNAAP,2021
23.539861,20.657097,26.958534,UNACAR,2010
27.146047,23.821696,31.088493,UNACAR,2011
31.745119,27.85757,36.355508,UNACAR,2012
37.228698,32.669586,42.635426,UNACAR,2013
41.556809,36.467773,47.592248,UNACAR,2014
45.066379,39.547395,51.611307,UNACAR,2015
51.000857,44.755426,58.408046,UNACAR,2016
56.048712,49.18491,64.188741,UNACAR,2017
56.62565,49.691131,64.849385,UNACAR,2018
63.875431,56.05336,73.152408,UNACAR,2019
66.952379,58.753461,76.676175,UNACAR,2020
69.614566,61.089819,79.725237,UNACAR,2021
26.073655,23.921253,29.02605,UNAESA,2010
31.907376,29.273386,35.520328,UNAESA,2011
38.039081,34.898911,42.346341,UNAESA,2012
43.968745,40.339086,48.94745,UNAESA,2013
49.837018,45.722928,55.480204,UNAESA,2014
55.358202,50.788331,61.626564,UNAESA,2015
61.026284,55.988503,67.936453,UNAESA,2016
66.632499,61.131935,74.177494,UNAESA,2017
70.50633,64.685956,78.489943,UNAESA,2018
74.140993,68.020591,82.536189,UNAESA,2019
76.437475,70.127488,85.092698,UNAESA,2020
78.330611,71.864338,87.200193,UNAESA,2021
12.131498,10.92024,13.354499,UNAEECA,2010
14.390793,12.953955,15.841555,UNAEECA,2011
17.005381,15.307492,18.719725,UNAEECA,2012
20.164175,18.150901,22.196965,UNAEECA,2013
23.382017,21.047444,25.739184,UNAEECA,2014
25.800568,23.224485,28.401514,UNAEECA,2015
32.476504,29.233917,35.750525,UNAEECA,2016
36.505959,32.861034,40.186172,UNAEECA,2017
41.830162,37.653639,46.047109,UNAEECA,2018
44.389672,39.957587,48.864636,UNAEECA,2019
49.63206,44.676568,54.635537,UNAEECA,2020
50.624995,45.570403,55.728619,UNAEECA,2021
41.238518,28.68283,53.17569,UNALA,2010
43.448046,30.21964,56.024813,UNALA,2011
46.376092,32.256202,59.800438,UNALA,2012
48.258738,33.565681,62.228109,UNALA,2013
50.361025,35.027844,64.938843,UNALA,2014
53.872733,37.470377,69.467104,UNALA,2015
56.533575,39.321069,72.898141,UNALA,2016
57.938189,40.298111,74.709499,UNALA,2017
59.868063,41.640382,77.197963,UNALA,2018
63.231376,43.979684,81.534843,UNALA,2019
66.788178,46.45354,86.121176,UNALA,2020
69.189992,48.124036,89.218142,UNALA,2021
14.457024,12.594774,16.866255,UNAMENA,2010
16.502111,14.376194,19.251839,UNAMENA,2011
19.01545,16.565708,22.183921,UNAMENA,2012
22.261682,19.393908,25.971297,UNAMENA,2013
25.438085,22.160876,29.676674,UNAMENA,2014
29.00891,25.271569,33.842349,UNAMENA,2015
33.832754,29.473605,39.469493,UNAMENA,2016
38.143859,33.229879,44.499698,UNAMENA,2017
42.734932,37.22958,49.855886,UNAMENA,2018
45.565314,39.695139,53.157633,UNAMENA,2019
48.235385,42.021069,56.272394,UNAMENA,2020
49.796272,43.380871,58.09337,UNAMENA,2021
17.67074,15.879225,20.12015,UNAWCA,2010
20.909667,18.789782,23.808041,UNAWCA,2011
25.010026,22.474422,28.476752,UNAWCA,2012
28.730658,25.817848,32.713119,UNAWCA,2013
32.592754,29.288408,37.110575,UNAWCA,2014
36.363068,32.676467,41.403496,UNAWCA,2015
42.002955,37.74455,47.825132,UNAWCA,2016
47.593262,42.768109,54.190352,UNAWCA,2017
51.543969,46.318281,58.688681,UNAWCA,2018
58.72619,52.772338,66.866448,UNAWCA,2019
69.322621,62.2945,78.931731,UNAWCA,2020
78.388045,70.440865,89.253777,UNAWCA,2021
60.574971,51.858841,68.932688,UNAWCENA,2010
62.239103,53.283583,70.826508,UNAWCENA,2011
67.358133,57.665962,76.651728,UNAWCENA,2012
67.984323,58.202193,77.364506,UNAWCENA,2013
70.108136,60.020243,79.781125,UNAWCENA,2014
72.712145,62.249703,82.744606,UNAWCENA,2015
75.350949,64.508854,85.747554,UNAWCENA,2016
78.232356,66.975571,89.026405,UNAWCENA,2017
79.449669,68.017707,90.41165,UNAWCENA,2018
80.987197,69.333952,92.161252,UNAWCENA,2019
83.547346,71.525828,95.074775,UNAWCENA,2020
84.510343,72.350204,96.170565,UNAWCENA,2021
