iso_code,year,cause,cause_group,deaths,population,death_rate
DZA,2000,Ischaemic heart disease,2,33826.52,31000000.0,109.12
DZA,2000,Stroke,2,15204.4,31000000.0,49.05
DZA,2000,Neonatal conditions,1,10853.64,31000000.0,35.01
DZA,2000,Road injury,3,6996.0,31000000.0,22.57
DZA,2000,Lower respiratory infections,1,6917.7,31000000.0,22.32
DZA,2000,Hypertensive heart disease,2,4837.33,31000000.0,15.6
DZA,2000,Kidney diseases,2,3619.74,31000000.0,11.68
DZA,2000,Congenital anomalies,2,3420.41,31000000.0,11.03
DZA,2000,Collective violence and legal intervention,3,2585.28,31000000.0,8.34
DZA,2000,Tuberculosis,1,2547.17,31000000.0,8.22
DZA,2000,Chronic obstructive pulmonary disease,2,2463.73,31000000.0,7.95
DZA,2000,Cirrhosis of the liver,2,2418.87,31000000.0,7.8
DZA,2000,Diarrhoeal diseases,1,2302.18,31000000.0,7.43
DZA,2000,Alzheimer disease and other dementias,2,2205.66,31000000.0,7.12
DZA,2000,"Trachea, bronchus, lung cancers",2,1855.25,31000000.0,5.98
DZA,2000,Asthma,2,1851.65,31000000.0,5.97
DZA,2000,Diabetes mellitus,2,1747.35,31000000.0,5.64
DZA,2000,Breast cancer,2,1713.82,31000000.0,5.53
DZA,2000,Measles,1,1409.24,31000000.0,4.55
DZA,2000,Self-harm,3,1401.29,31000000.0,4.52
DZA,2000,Colon and rectum cancers,2,1398.25,31000000.0,4.51
DZA,2000,Stomach cancer,2,1344.79,31000000.0,4.34
DZA,2000,Falls,3,1052.76,31000000.0,3.4
DZA,2000,"Lymphomas, multiple myeloma",2,948.58,31000000.0,3.06
DZA,2000,"Fire, heat and hot substances",3,844.01,31000000.0,2.72
DZA,2000,Drowning,3,814.02,31000000.0,2.63
DZA,2000,Leukaemia,2,794.9,31000000.0,2.56
DZA,2000,Maternal conditions,1,783.65,31000000.0,2.53
DZA,2000,Exposure to mechanical forces,3,765.87,31000000.0,2.47
DZA,2000,Brain and nervous system cancers,2,744.56,31000000.0,2.4
DZA,2000,Interpersonal violence,3,672.26,31000000.0,2.17
DZA,2000,Cervix uteri cancer,2,667.13,31000000.0,2.15
DZA,2000,Bladder cancer,2,633.79,31000000.0,2.04
DZA,2000,Peptic ulcer disease,2,615.62,31000000.0,1.99
DZA,2000,Meningitis,1,603.91,31000000.0,1.95
DZA,2000,"Cardiomyopathy, myocarditis, endocarditis",2,581.56,31000000.0,1.88
DZA,2000,Drug use disorders,2,538.66,31000000.0,1.74
DZA,2000,Parkinson disease,2,540.28,31000000.0,1.74
DZA,2000,Larynx cancer,2,483.18,31000000.0,1.56
DZA,2000,Prostate cancer,2,450.5,31000000.0,1.45
DZA,2000,Mouth and oropharynx cancers,2,441.3,31000000.0,1.42
DZA,2000,Epilepsy,2,437.83,31000000.0,1.41
DZA,2000,Rheumatic heart disease,2,403.99,31000000.0,1.3
DZA,2000,Gallbladder and biliary tract cancer,2,394.05,31000000.0,1.27
DZA,2000,Sudden infant death syndrome,2,379.72,31000000.0,1.22
DZA,2000,Poisonings,3,360.66,31000000.0,1.16
DZA,2000,Paralytic ileus and intestinal obstruction,2,303.59,31000000.0,0.98
DZA,2000,Pancreas cancer,2,292.98,31000000.0,0.95
DZA,2000,Melanoma and other skin cancers,2,274.74,31000000.0,0.89
DZA,2000,Liver cancer,2,263.52,31000000.0,0.85
DZA,2000,Acute hepatitis B,1,262.22,31000000.0,0.85
DZA,2000,Ovary cancer,2,241.99,31000000.0,0.78
DZA,2000,Protein-energy malnutrition,1,198.64,31000000.0,0.64
DZA,2000,Echinococcosis,1,174.53,31000000.0,0.56
DZA,2000,Oesophagus cancer,2,165.81,31000000.0,0.53
DZA,2000,Kidney cancer,2,161.91,31000000.0,0.52
DZA,2000,Gallbladder and biliary diseases,2,159.57,31000000.0,0.51
DZA,2000,Whooping cough,1,130.14,31000000.0,0.42
DZA,2000,Encephalitis,1,117.73,31000000.0,0.38
DZA,2000,Thyroid cancer,2,118.64,31000000.0,0.38
DZA,2000,Pancreatitis,2,107.84,31000000.0,0.35
DZA,2000,Tetanus,1,105.04,31000000.0,0.34
DZA,2000,Appendicitis,2,91.98,31000000.0,0.3
DZA,2000,Alcohol use disorders,2,75.42,31000000.0,0.24
DZA,2000,Thalassaemias,2,72.03,31000000.0,0.23
DZA,2000,Acute hepatitis A,1,72.26,31000000.0,0.23
DZA,2000,Syphilis,1,55.31,31000000.0,0.18
DZA,2000,Sickle cell disorders and trait,2,52.87,31000000.0,0.17
DZA,2000,HIV/AIDS,1,49.0,31000000.0,0.16
DZA,2000,Natural disasters,3,48.12,31000000.0,0.16
DZA,2000,Multiple sclerosis,2,43.88,31000000.0,0.14
DZA,2000,Skin diseases,2,39.87,31000000.0,0.13
DZA,2000,Corpus uteri cancer,2,39.59,31000000.0,0.13
DZA,2000,Schistosomiasis,1,28.04,31000000.0,0.09
DZA,2000,Inflammatory bowel disease,2,26.89,31000000.0,0.09
DZA,2000,Leishmaniasis,1,25.68,31000000.0,0.08
DZA,2000,Mesothelioma,2,22.25,31000000.0,0.07
DZA,2000,Testicular cancer,2,13.43,31000000.0,0.04
DZA,2000,Acute hepatitis C,1,8.33,31000000.0,0.03
DZA,2000,Rheumatoid arthritis,2,9.76,31000000.0,0.03
DZA,2000,Gastritis and duodenitis,2,10.26,31000000.0,0.03
DZA,2000,Acute hepatitis E,1,5.05,31000000.0,0.02
DZA,2000,Rabies,1,5.44,31000000.0,0.02
DZA,2000,Ascariasis,1,5.42,31000000.0,0.02
