iso_code,year,value,indicator
AGO,2000,23661.0,MALARIA_EST_DEATHS
BDI,2000,12288.0,MALARIA_EST_DEATHS
BEN,2000,7898.0,MALARIA_EST_DEATHS
BFA,2000,41277.0,MALARIA_EST_DEATHS
BWA,2000,49.0,MALARIA_EST_DEATHS
CAF,2000,7379.0,MALARIA_EST_DEATHS
CMR,2000,17144.0,MALARIA_EST_DEATHS
COD,2000,100494.0,MALARIA_EST_DEATHS
COG,2000,3034.0,MALARIA_EST_DEATHS
COM,2000,89.0,MALARIA_EST_DEATHS
CPV,2000,0.0,MALARIA_EST_DEATHS
DZA,2000,2.0,MALARIA_EST_DEATHS
ERI,2000,97.0,MALARIA_EST_DEATHS
ETH,2000,16808.0,MALARIA_EST_DEATHS
GAB,2000,359.0,MALARIA_EST_DEATHS
GHA,2000,19388.0,MALARIA_EST_DEATHS
GIN,2000,16396.0,MALARIA_EST_DEATHS
GMB,2000,577.0,MALARIA_EST_DEATHS
GNB,2000,2273.0,MALARIA_EST_DEATHS
GNQ,2000,633.0,MALARIA_EST_DEATHS
KEN,2000,11901.0,MALARIA_EST_DEATHS
LBR,2000,6968.0,MALARIA_EST_DEATHS
MDG,2000,2239.0,MALARIA_EST_DEATHS
MLI,2000,25672.0,MALARIA_EST_DEATHS
MOZ,2000,45482.0,MALARIA_EST_DEATHS
MRT,2000,1094.0,MALARIA_EST_DEATHS
MWI,2000,17225.0,MALARIA_EST_DEATHS
NAM,2000,199.0,MALARIA_EST_DEATHS
NER,2000,25663.0,MALARIA_EST_DEATHS
NGA,2000,249308.0,MALARIA_EST_DEATHS
RWA,2000,6191.0,MALARIA_EST_DEATHS
SEN,2000,6336.0,MALARIA_EST_DEATHS
SLE,2000,14506.0,MALARIA_EST_DEATHS
SSD,2000,10974.0,MALARIA_EST_DEATHS
STP,2000,254.0,MALARIA_EST_DEATHS
SWZ,2000,2.0,MALARIA_EST_DEATHS
TCD,2000,8459.0,MALARIA_EST_DEATHS
TGO,2000,5462.0,MALARIA_EST_DEATHS
TZA,2000,40887.0,MALARIA_EST_DEATHS
UGA,2000,45764.0,MALARIA_EST_DEATHS
ZAF,2000,424.0,MALARIA_EST_DEATHS
ZMB,2000,13121.0,MALARIA_EST_DEATHS
ZWE,2000,2707.0,MALARIA_EST_DEATHS
ARG,2000,0.0,MALARIA_EST_DEATHS
BLZ,2000,0.0,MALARIA_EST_DEATHS
BOL,2000,24.0,MALARIA_EST_DEATHS
BRA,2000,245.0,MALARIA_EST_DEATHS
COL,2000,124.0,MALARIA_EST_DEATHS
CRI,2000,0.0,MALARIA_EST_DEATHS
DOM,2000,6.0,MALARIA_EST_DEATHS
ECU,2000,66.0,MALARIA_EST_DEATHS
GTM,2000,27.0,MALARIA_EST_DEATHS
GUY,2000,50.0,MALARIA_EST_DEATHS
HND,2000,23.0,MALARIA_EST_DEATHS
HTI,2000,185.0,MALARIA_EST_DEATHS
MEX,2000,0.0,MALARIA_EST_DEATHS
NIC,2000,4.0,MALARIA_EST_DEATHS
PAN,2000,1.0,MALARIA_EST_DEATHS
PER,2000,96.0,MALARIA_EST_DEATHS
PRY,2000,0.0,MALARIA_EST_DEATHS
SLV,2000,0.0,MALARIA_EST_DEATHS
SUR,2000,24.0,MALARIA_EST_DEATHS
VEN,2000,26.0,MALARIA_EST_DEATHS
MAR,2000,0.0,MALARIA_EST_DEATHS
AFG,2000,965.0,MALARIA_EST_DEATHS
ARE,2000,0.0,MALARIA_EST_DEATHS
DJI,2000,4.0,MALARIA_EST_DEATHS
EGY,2000,0.0,MALARIA_EST_DEATHS
IRN,2000,4.0,MALARIA_EST_DEATHS
IRQ,2000,0.0,MALARIA_EST_DEATHS
OMN,2000,0.0,MALARIA_EST_DEATHS
PAK,2000,995.0,MALARIA_EST_DEATHS
SAU,2000,0.0,MALARIA_EST_DEATHS
SDN,2000,6200.0,MALARIA_EST_DEATHS
SOM,2000,2852.0,MALARIA_EST_DEATHS
SYR,2000,0.0,MALARIA_EST_DEATHS
YEM,2000,2640.0,MALARIA_EST_DEATHS
ARM,2000,0.0,MALARIA_EST_DEATHS
AZE,2000,0.0,MALARIA_EST_DEATHS
GEO,2000,0.0,MALARIA_EST_DEATHS
KAZ,2000,0.0,MALARIA_EST_DEATHS
KGZ,2000,0.0,MALARIA_EST_DEATHS
TJK,2000,0.0,MALARIA_EST_DEATHS
TKM,2000,0.0,MALARIA_EST_DEATHS
TUR,2000,0.0,MALARIA_EST_DEATHS
UZB,2000,0.0,MALARIA_EST_DEATHS
BGD,2000,199.0,MALARIA_EST_DEATHS
BTN,2000,15.0,MALARIA_EST_DEATHS
IDN,2000,1682.0,MALARIA_EST_DEATHS
IND,2000,29512.0,MALARIA_EST_DEATHS
LKA,2000,77.0,MALARIA_EST_DEATHS
MMR,2000,2744.0,MALARIA_EST_DEATHS
NPL,2000,25.0,MALARIA_EST_DEATHS
PRK,2000,0.0,MALARIA_EST_DEATHS
THA,2000,625.0,MALARIA_EST_DEATHS
TLS,2000,241.0,MALARIA_EST_DEATHS
CHN,2000,31.0,MALARIA_EST_DEATHS
KHM,2000,1582.0,MALARIA_EST_DEATHS
KOR,2000,0.0,MALARIA_EST_DEATHS
LAO,2000,221.0,MALARIA_EST_DEATHS
MYS,2000,35.0,MALARIA_EST_DEATHS
PHL,2000,204.0,MALARIA_EST_DEATHS
PNG,2000,3142.0,MALARIA_EST_DEATHS
SLB,2000,476.0,MALARIA_EST_DEATHS
VNM,2000,421.0,MALARIA_EST_DEATHS
VUT,2000,34.0,MALARIA_EST_DEATHS
AGO,2001,24478.0,MALARIA_EST_DEATHS
BDI,2001,11335.0,MALARIA_EST_DEATHS
BEN,2001,8455.0,MALARIA_EST_DEATHS
BFA,2001,41824.0,MALARIA_EST_DEATHS
BWA,2001,19.0,MALARIA_EST_DEATHS
