iso_code,year,value
AFG,2020,110.0
AGO,2020,15989.0
ARE,2019,0.0
ARG,2019,0.0
ARM,2019,0.0
AZE,2019,0.0
BDI,2020,5822.0
BEN,2020,10123.0
BFA,2020,19979.0
BGD,2020,15.0
BLZ,2020,0.0
BOL,2020,6.0
BRA,2020,42.0
BTN,2020,0.0
BWA,2020,4.0
CAF,2020,5079.0
CHN,2019,0.0
CIV,2020,15913.0
CMR,2020,14841.0
COD,2020,82511.0
COG,2020,2354.0
COL,2020,5.0
COM,2020,11.0
CPV,2020,0.0
CRI,2020,0.0
DJI,2020,126.0
DOM,2020,2.0
DZA,2019,0.0
ECU,2020,3.0
EGY,2019,0.0
ERI,2020,372.0
ETH,2020,9433.0
GAB,2020,424.0
GEO,2019,0.0
GHA,2020,12084.0
GIN,2020,10215.0
GMB,2020,615.0
GNB,2019,874.0
GNQ,2019,643.0
GTM,2020,0.0
GUY,2020,28.0
HND,2020,0.0
HTI,2020,97.0
IDN,2020,1443.0
IND,2020,7341.0
IRN,2019,0.0
IRQ,2019,0.0
KAZ,2019,0.0
KEN,2020,12646.0
KGZ,2019,0.0
KHM,2020,43.0
KOR,2020,0.0
LAO,2020,7.0
LBR,2019,3918.0
LKA,2019,0.0
MAR,2019,0.0
MDG,2020,9459.0
MEX,2020,0.0
MLI,2020,19316.0
MMR,2020,77.0
MOZ,2020,23766.0
MRT,2020,1685.0
MWI,2020,7165.0
MYS,2019,0.0
NAM,2020,51.0
NER,2020,17435.0
NGA,2020,199689.0
NIC,2020,0.0
NPL,2020,0.0
OMN,2019,0.0
PAK,2020,454.0
PAN,2020,0.0
PER,2020,23.0
PHL,2020,97.0
PNG,2020,2962.0
PRK,2020,0.0
PRY,2019,0.0
RWA,2020,3046.0
SAU,2020,0.0
SDN,2020,7533.0
SEN,2020,4602.0
SLB,2020,124.0
SLE,2020,8054.0
SLV,2019,0.0
SOM,2020,2123.0
SSD,2020,7431.0
STP,2020,0.0
SUR,2020,0.0
SWZ,2020,0.0
SYR,2019,0.0
TCD,2020,12415.0
TGO,2019,3584.0
THA,2020,3.0
TJK,2019,0.0
TKM,2019,0.0
TLS,2020,0.0
TUR,2019,0.0
TZA,2020,25972.0
UGA,2020,21699.0
UZB,2019,0.0
VEN,2020,203.0
VNM,2020,2.0
VUT,2020,0.0
YEM,2020,1979.0
ZAF,2020,38.0
ZMB,2020,8946.0
ZWE,2020,2951.0
