SpatialDim,TimeDim,NumericValue
WB_LI,2016,73.0
WB_HI,2004,96.0
WB_LMI,2014,80.0
WB_LI,2015,73.0
WB_LMI,2006,70.0
WB_LI,2011,73.0
WB_LI,2005,65.0
WB_LI,2020,73.0
WB_LMI,2005,70.0
WB_LI,2000,49.0
WB_UMI,2003,86.0
WB_LMI,2008,73.0
WB_LI,2002,52.0
WB_UMI,2021,86.0
WB_LMI,2018,85.0
WB_LMI,2023,85.0
WB_UMI,2022,91.0
WB_UMI,2012,95.0
WB_HI,2019,95.0
WB_HI,2014,96.0
WB_HI,2006,96.0
WB_UMI,2005,87.0
WB_HI,2009,96.0
WB_LI,2021,69.0
WB_UMI,2010,94.0
WB_HI,2005,96.0
WB_UMI,2018,93.0
WB_LMI,2022,86.0
WB_LMI,2017,83.0
WB_LI,2023,68.0
WB_LI,2001,50.0
WB_UMI,2007,91.0
WB_LI,2006,66.0
WB_LI,2007,69.0
WB_LMI,2004,69.0
WB_HI,2023,94.0
WB_HI,2018,95.0
WB_LI,2019,75.0
WB_LMI,2019,86.0
WB_HI,2010,96.0
WB_HI,2015,95.0
WB_UMI,2017,93.0
WB_HI,2002,95.0
WB_HI,2001,95.0
WB_LI,2018,74.0
WB_LI,2008,70.0
WB_HI,2000,93.0
WB_UMI,2008,93.0
WB_HI,2007,96.0
WB_UMI,2006,90.0
WB_HI,2021,95.0
WB_HI,2012,96.0
WB_UMI,2014,93.0
WB_UMI,2000,86.0
WB_HI,2011,96.0
WB_LMI,2015,81.0
WB_HI,2017,95.0
WB_HI,2020,94.0
WB_UMI,2002,86.0
WB_LMI,2010,77.0
WB_LI,2022,68.0
WB_LMI,2003,67.0
WB_LI,2012,72.0
WB_HI,2016,95.0
WB_LMI,2009,76.0
WB_LMI,2011,79.0
WB_LMI,2021,81.0
WB_UMI,2011,94.0
WB_UMI,2015,93.0
WB_LMI,2020,82.0
WB_LI,2004,60.0
WB_UMI,2016,93.0
WB_LMI,2016,83.0
WB_LMI,2012,79.0
WB_LI,2017,74.0
WB_LI,2003,56.0
WB_UMI,2023,90.0
WB_UMI,2020,88.0
WB_LMI,2013,78.0
WB_LI,2010,72.0
WB_LMI,2000,64.0
WB_LI,2014,73.0
WB_HI,2022,95.0
WB_LMI,2001,64.0
WB_UMI,2013,95.0
WB_LMI,2002,64.0
WB_LMI,2007,69.0
WB_UMI,2009,94.0
WB_LI,2013,71.0
WB_HI,2008,96.0
WB_HI,2013,95.0
WB_LI,2009,72.0
WB_HI,2003,96.0
WB_UMI,2001,87.0
WB_UMI,2004,87.0
WB_UMI,2019,91.0
