year,donor_code,flows_code,value,indicator
2000,1,1140,187556.71,GNI
2000,2,1140,229121.48,GNI
2000,3,1140,156876.5,GNI
2000,4,1140,1346565.0,GNI
2000,5,1140,1862363.0,GNI
2000,6,1140,1074281.77,GNI
2000,7,1140,374644.53,GNI
2000,8,1140,165364.06,GNI
2000,9,1140,103795.03,GNI
2000,10,1140,224515.64,GNI
2000,11,1140,274636.105,GNI
2000,12,1140,1417780.81,GNI
2000,18,1140,119307.19,GNI
2000,20,1140,8275.0,GNI
2000,21,1140,79335.36,GNI
2000,22,1140,17666.94,GNI
2000,40,1140,111916.0,GNI
2000,50,1140,552060.0,GNI
2000,68,1140,49500.0,GNI
2000,69,1140,18967.97,GNI
2000,76,1140,157800.0,GNI
2000,301,1140,684489.93,GNI
2000,302,1140,9928500.0,GNI
2000,701,1140,4807580.71,GNI
2000,742,1140,509606.0,GNI
2000,801,1140,370209.09,GNI
2000,820,1140,45017.01,GNI
2001,1,1140,185351.92,GNI
2001,2,1140,235472.86,GNI
2001,3,1140,158659.3,GNI
2001,4,1140,1356720.0,GNI
2001,5,1140,1841098.84,GNI
2001,6,1140,1083485.5,GNI
2001,7,1140,386058.96,GNI
2001,8,1140,168783.94,GNI
2001,9,1140,106962.74,GNI
2001,10,1140,217369.13,GNI
2001,11,1140,274307.273,GNI
2001,12,1140,1431326.52,GNI
2001,18,1140,120204.19,GNI
2001,20,1140,7365.0,GNI
2001,21,1140,86643.16,GNI
2001,22,1140,17956.56,GNI
2001,40,1140,117193.0,GNI
2001,50,1140,573663.8,GNI
2001,68,1140,55151.0,GNI
2001,69,1140,20290.0,GNI
2001,76,1140,173732.0,GNI
2001,301,1140,705403.0,GNI
2001,302,1140,10158900.0,GNI
2001,701,1140,4245071.6,GNI
2001,742,1140,481108.0,GNI
2001,801,1140,346482.38,GNI
2001,820,1140,43910.23,GNI
2002,1,1140,203885.44,GNI
2002,2,1140,247789.0,GNI
2002,3,1140,170436.69,GNI
2002,4,1140,1463376.0,GNI
2002,5,1140,1987399.87,GNI
2002,6,1140,1174488.74,GNI
2002,7,1140,411827.35,GNI
2002,8,1140,190915.4,GNI
2002,9,1140,118743.94,GNI
2002,10,1140,240507.0,GNI
2002,11,1140,295931.957,GNI
2002,12,1140,1595033.76,GNI
2002,18,1140,131348.6,GNI
2002,20,1140,8331.0,GNI
2002,21,1140,98863.0,GNI
2002,22,1140,18752.14,GNI
2002,40,1140,133356.89,GNI
2002,50,1140,651732.54,GNI
2002,68,1140,69513.69,GNI
2002,69,1140,27787.17,GNI
2002,301,1140,718191.08,GNI
2002,302,1140,10490200.0,GNI
2002,701,1140,4065136.58,GNI
2002,742,1140,547512.0,GNI
2002,801,1140,386825.07,GNI
2002,820,1140,54789.77,GNI
2003,1,1140,250370.58,GNI
2003,2,1140,307995.71,GNI
2003,3,1140,208619.65,GNI
2003,4,1140,1799115.0,GNI
2003,5,1140,2388656.65,GNI
2003,6,1140,1453954.36,GNI
2003,7,1140,499435.09,GNI
2003,8,1140,222292.81,GNI
2003,9,1140,145496.1,GNI
2003,10,1140,302075.98,GNI
2003,11,1140,359253.705,GNI
2003,12,1140,1829444.81,GNI
2003,18,1140,160403.3,GNI
2003,20,1140,10589.0,GNI
2003,21,1140,127604.0,GNI
2003,22,1140,22627.95,GNI
2003,40,1140,172892.35,GNI
2003,50,1140,839493.37,GNI
2003,68,1140,81305.69,GNI
2003,69,1140,32533.88,GNI
2003,75,1140,79108.0,GNI
2003,76,1140,206452.21,GNI
2003,301,1140,853583.32,GNI
2003,302,1140,10980860.0,GNI
2003,701,1140,4375704.06,GNI
2003,742,1140,606054.0,GNI
2003,801,1140,492962.05,GNI
2003,820,1140,73298.22,GNI
2004,1,1140,290942.97,GNI
2004,2,1140,357207.11,GNI
2004,3,1140,240473.98,GNI
2004,4,1140,2058806.0,GNI
2004,5,1140,2729146.48,GNI
2004,6,1140,1669300.53,GNI
2004,7,1140,573127.0,GNI
2004,8,1140,251528.05,GNI
2004,9,1140,164403.65,GNI
2004,10,1140,350191.94,GNI
2004,11,1140,400233.646,GNI
2004,12,1140,2179558.37,GNI
2004,18,1140,185360.91,GNI
2004,20,1140,11996.58,GNI
2004,21,1140,156186.0,GNI
