year,donor_code,value_all,value_africa
2009,1,1139.72,464.58
2009,2,2595.16,1233.88
2009,3,2702.04,1241.4
2009,4,12629.93,7024.88
2009,5,12027.45,4341.25
2009,6,3240.08,1453.3600000000001
2009,7,6307.09,1854.36
2009,8,4063.4900000000002,1314.9099999999999
2009,9,509.48,276.24
2009,10,4485.8,1615.95
2009,11,2273.0,722.35
2009,12,11179.31,4526.7
2009,18,1288.3799999999999,542.71
2009,20,32.8,15.25
2009,21,990.0999999999999,586.16
2009,22,408.06000000000006,188.10000000000002
2009,30,45.12,10.469999999999999
2009,40,599.0699999999999,172.57
2009,45,7.56,0.0
2009,50,6524.34,2472.9300000000003
2009,55,701.8499999999999,57.510000000000005
2009,61,70.93,19.52
2009,68,214.70999999999998,56.089999999999996
2009,69,75.33,23.889999999999997
2009,70,21.1,0.0
2009,75,116.64000000000001,37.49
2009,76,373.83,132.41
2009,77,151.39000000000001,50.629999999999995
2009,82,3.61,0.0
2009,83,2.0,0.0
2009,84,36.129999999999995,12.09
2009,104,63.74,42.17
2009,301,3921.6000000000004,1721.1200000000001
2009,302,28670.730000000003,9306.09
2009,546,123.85,34.46
2009,552,220.24,154.37
2009,566,2924.63,49.68
2009,576,948.15,85.4
2009,701,9284.1,2689.63
2009,732,402.15,0.0
2009,742,805.34,172.22
2009,764,38.53,2.25
2009,801,2725.42,231.5
2009,811,686.33,198.42
2009,812,29.35,0.12
2009,820,288.54,30.68
2009,905,9246.03,5090.18
2009,913,167.22,167.22
2009,914,2582.31,2582.31
2009,918,13566.529999999999,5855.92
2009,921,266.84,280.73
2009,923,42.64,40.74
2009,928,436.79,103.62
2009,944,64.87,21.73
2009,951,168.79,96.69
2009,953,87.6,87.6
2009,958,1825.07,2075.6
2009,959,630.52,294.21
2009,963,1086.22,464.3
2009,966,290.35,174.88
2009,967,300.81,93.88
2009,971,243.03,33.31
2009,974,346.47,156.97
2009,976,441.82,205.22
2009,988,229.72,118.79
2009,1311,469.48,219.84
2009,1312,2333.09,1405.24
2010,1,1203.29,537.2
2010,2,2958.13,1649.24
2010,3,2888.75,1211.55
2010,4,12992.86,6724.15
2010,5,12777.07,4201.889999999999
2010,6,2930.11,1375.48
2010,7,6247.400000000001,1962.98
2010,8,4328.139999999999,1398.8400000000001
2010,9,641.05,403.40999999999997
2010,10,4530.63,1536.15
2010,11,2256.8199999999997,633.6800000000001
2010,12,12898.51,5534.52
2010,18,1328.82,539.7
2010,20,28.64,13.95
2010,21,892.56,524.74
2010,22,394.28,184.4
2010,30,50.730000000000004,10.91
2010,40,503.49,155.77
2010,45,8.4,0.0
2010,50,5827.73,2096.77
2010,55,942.2,45.78
2010,61,58.13,16.07
2010,68,213.26,65.43
2010,69,73.22,24.94
2010,70,21.8,0.0
2010,75,113.1,39.58
2010,76,375.13,123.51
2010,77,113.0,37.61
2010,82,18.55,5.88
2010,83,1.6,0.0
2010,84,36.599999999999994,8.62
2010,104,49.72,28.8
2010,301,5085.6900000000005,2158.87
2010,302,29495.0,9331.28
2010,546,144.62,48.129999999999995
2010,552,210.58,130.92
2010,566,2870.43,29.07
2010,576,403.93,98.45
2010,701,11016.01,3590.87
2010,732,326.03,0.0
2010,742,1161.82,248.95
2010,764,8.21,4.79
2010,801,3842.64,429.31
2010,811,723.3,207.51
2010,812,20.5,0.15
2010,820,321.54999999999995,30.419999999999998
2010,905,7818.67,5201.17
2010,913,127.47,127.47
2010,914,1702.29,1702.29
2010,918,12683.03,5554.429999999999
2010,921,477.73,375.22
2010,923,50.94,41.21
2010,928,366.24,89.76
2010,944,87.86,27.36
2010,951,159.98,70.44
2010,953,75.88,75.88
2010,958,1229.93,1194.2
2010,959,602.05,277.24
2010,963,1045.77,499.79
2010,966,243.47,127.09
2010,967,392.56,61.16
2010,971,245.76,37.34
2010,974,313.7,153.68
2010,976,279.8,172.01
2010,988,283.87,123.84
2010,1012,21.53,8.62
2010,1311,771.53,317.05
2010,1312,3003.47,1914.4
2011,1,1101.8899999999999,397.81
2011,2,2792.12,1295.73
2011,3,2906.0600000000004,1308.66
2011,4,13008.77,6704.66
2011,5,14066.11,4882.52
2011,6,4244.51,1872.8
2011,7,6246.4400000000005,1780.02
2011,8,4693.7,1606.52
2011,9,699.99,489.49
2011,10,5540.969999999999,2261.53
2011,11,3022.5600000000004,889.81
2011,12,13650.470000000001,5782.43
2011,18,1395.52,563.0
2011,20,24.909999999999997,12.17
2011,21,906.68,514.42
2011,22,406.22,174.99
2011,30,37.2,8.45
2011,40,422.47,114.69999999999999
2011,50,4066.95,1453.0
2011,55,1267.82,286.84999999999997
2011,61,62.1,16.64
2011,68,244.48000000000002,72.05
2011,69,85.62,25.52
2011,72,44.57,20.39
2011,75,138.2,38.64
2011,76,415.37,120.54
2011,77,162.10000000000002,50.0
2011,82,24.169999999999998,6.78
2011,83,1.27,0.01
2011,84,51.58,11.77
2011,87,439.17,121.06
2011,104,51.97,8.61
2011,301,5376.289999999999,2147.76
2011,302,30858.35,10871.72
2011,546,205.91,11.83
2011,552,144.42,170.38
2011,566,4773.29,14.5
2011,576,698.0,137.29
2011,701,11071.16,3234.41
2011,742,1305.75,300.54
2011,764,26.68,4.65
2011,801,4858.03,604.8299999999999
2011,811,666.5,179.21
2011,812,8.04,0.08
2011,820,409.15,40.72
2011,905,7049.76,4791.22
2011,913,125.22,125.22
2011,914,2146.72,2146.72
2011,918,17351.649999999998,6122.740000000001
2011,921,301.18,284.6
2011,923,61.85,52.73
2011,928,452.26,111.53
2011,944,70.23,18.07
2011,951,139.69,55.2
2011,953,46.77,46.77
2011,958,772.41,1057.48
2011,959,489.63,220.6
2011,963,1089.29,484.16
2011,966,336.91,175.91
2011,967,441.34,106.92
2011,971,265.47,50.28
2011,974,313.8,150.61
2011,976,242.38,154.03
2011,988,382.13,172.82
2011,1012,47.1,10.83
2011,1311,819.43,517.34
2011,1312,2611.58,1534.33
2012,1,1092.06,456.72999999999996
2012,2,2294.9300000000003,1161.32
2012,3,2681.7200000000003,1168.6299999999999
2012,4,11824.64,6074.41
2012,5,12887.810000000001,4833.620000000001
2012,6,2670.83,1002.1300000000001
2012,7,5396.41,1432.3600000000001
2012,8,4640.07,1503.42
2012,9,573.37,413.51000000000005
2012,10,5201.89,1978.33
2012,11,3002.36,827.0600000000001
2012,12,13181.970000000001,5677.11
2012,18,1311.98,570.12
2012,20,25.880000000000003,12.059999999999999
2012,21,805.8799999999999,470.05
2012,22,396.26,160.96
2012,30,24.979999999999997,6.37
2012,40,322.53000000000003,96.38
2012,45,17.95,3.28
2012,50,2008.6399999999999,718.47
2012,55,2518.52,793.65
2012,61,57.75,17.5
2012,62,14.52,0.03
2012,68,213.97000000000003,72.87
2012,69,79.22,28.14
2012,72,35.93,15.31
2012,75,117.53,41.699999999999996
2012,76,419.27000000000004,127.08999999999999
2012,77,141.1,48.410000000000004
2012,82,23.13,6.87
2012,83,21.07,8.76
2012,84,51.879999999999995,12.72
2012,87,419.51,136.03
2012,104,37.74,12.51
2012,301,5510.64,2707.35
2012,302,30185.539999999997,11376.5
2012,546,180.51000000000002,20.39
2012,552,148.92,118.63
2012,566,957.13,46.59
2012,576,714.97,180.57
2012,701,10118.029999999999,3359.25
2012,742,1582.43,422.82
2012,764,13.43,3.35
2012,801,5333.49,735.14
2012,811,670.73,182.48
2012,812,4.86,0.11
2012,820,427.0,26.76
2012,905,6921.04,4788.7
2012,913,114.44,114.44
2012,914,2339.2,2339.2
2012,918,17423.48,7228.78
2012,921,303.06,293.39
2012,923,60.26,49.79
2012,928,397.03,93.17
2012,940,238.05,37.76
2012,944,68.92,21.85
